Component,Material Name,Qty,Units,Quantity (kg),kg/m2,Density (kg/m^3),Quantity (m^3)
Transom & Mullion,CLT,0.58465765,m3,280.635672,8.504111272727272,480,0.58465765
Snap Cover,CLT,0.09998000324000002,m3,47.99040155520001,1.4542545925818184,480,0.09998000324000002
Pressure Plate ,Aluminum,4.633092363333334,m2,38.917975852,1.1793326015757575,2800,0.01389927709
Exterior Gasket,EPDM,7.153873983000001,kg,7.153873983000001,0.21678406009090914,900,0.007948748870000001
Insulating Block,Polyamide,41.268659564000004,kg,41.268659564000004,1.2505654413333334,1100,0.037516963240000006
Mullion/Transom Gasket,EPDM,25.321939892280003,kg,25.321939892280003,0.7673315118872728,900,0.028135488769200002
Thermal Base Profile,Polyamide,15.214682233300001,kg,15.214682233300001,0.46105097676666673,1100,0.013831529303
Spacer,Aluminum,7.492408789599999,kg,7.492408789599999,0.22704269059393936,2800,0.0026758602819999997
Glass,Double Glazed Flat/Float Glass,21.23300416,m2,523.208558,15.85480478787879,2500,0.2092834232
Coating,Metallic Oxide,N/A,N/A,-,-,-,-
Dessicant,Silica Gel,3.7065620202518517,kg,3.7065620202518517,0.11232006121975308,2200,0.0016848009182962962
Sealant,Silicone,2.8122631065744,kg,2.8122631065744,0.08522009413861818,2329,0.0012074981136
Gas Infill,Argon,0.7933080697145345,kg*,0.5692509111040001,0.017250027609212123,1.7,0.33485347712
High Density XPS Block,XPS,0.27014424636800005,kg,0.27014424636800005,0.00818618928387879,24.8,0.010892913160000002
Insulation,XPS,4.3671895296,kg,4.3671895296,0.13233907665454545,24.8,0.176096352
Backpan Insulation,Fibre Glass,5.5596443424,kg,5.5596443424,0.16847407098181819,12,0.46330369520000003
Front Face,Aluminum,71.78602054400001,kg,71.78602054400001,2.1753339558787883,2800,0.02563786448
Membrane,Polyethylene,1.9005580482400002,kg,1.9005580482400002,0.057592668128484854,950,0.0020005874192
Blocking,Spruce-Pine-Fir (SPF) Softwood,0.050203824960000004,m3,25.101912480000003,0.7606640145454546,500,0.050203824960000004
Plywood,Spruce-Pine-Fir (SPF) Softwood,0.095832316,m3,47.916158,1.452004787878788,500,0.095832316
Framing,Spruce-Pine-Fir (SPF) Softwood,0.023684769600000002,m3,11.842384800000001,0.3588601454545455,500,0.023684769600000002
Backpan/Interior Finish,Gypsum,67.87690672,kg,67.87690672,2.0568759612121212,700,0.0969670096
Vertical Flashing,Aluminum,1.0215135952,kg,1.0215135952,0.03095495743030303,2800,0.000364826284
Horizontal Flashing,Aluminum,1.7473711724000003,kg,1.7473711724000003,0.052950641587878794,2800,0.0006240611330000001
Setting Block,Silicone,9.2808072448,kg,9.2808072448,0.28123658317575756,2800,0.003314574016
Glass Carrier,Fibre Glass,0.025452519359999995,kg,0.025452519359999995,0.0007712884654545453,12,0.0021210432799999997
