filename,supports_thesis_item,description,format,generated_or_manual,source_or_script,redistributable_yes_no,notes
README.md,Appendix E folder guide,Folder-level purpose and scope,markdown,generated,build_appendix_e_support.py,yes,
MANIFEST.csv,Appendix E inventory,Machine-readable inventory of support files,csv,generated,build_appendix_e_support.py,yes,
table_e1_indicator_set.csv,Table E1,Indicator set used for Appendix E (18 rows),csv,generated,methods_index_recipe2016_midpointH.csv + build_appendix_e_support.py,yes,
table_e2_sign_consistency_vs_gwp.csv,Table E2,Sign consistency vs GWP by route-scenario (20 rows),csv,generated,heatmap_sign_consistency_vs_GWP_fraction.csv + build_appendix_e_support.py,yes,
table_e3_indicators_with_sign_reversals.csv,Table E3,Indicators with at least one sign reversal (9 rows),csv,generated,appendix_screening_summary_sign_rank_vs_GWP.csv + appendix_full_indicator_grid_C3C4_StageD_net_with_flags.csv + build_appendix_e_support.py,yes,
table_e4_rank_inversion_summary.csv,Table E4,Rank inversion summary (4 rows),csv,generated,appendix_screening_summary_sign_rank_vs_GWP.csv + build_appendix_e_support.py,yes,
methods_manifest.csv,Appendix E method manifest,Full method manifest (19 rows),csv,generated,methods_index_recipe2016_midpointH.csv + build_appendix_e_support.py,yes,
grid_file_manifest.csv,Appendix E grid tables,Manifest of copied per-indicator grid tables (57 rows),csv,generated,tables/grid_*.csv + build_appendix_e_support.py,yes,
source_file_manifest.csv,Appendix E source exports,Manifest of copied summary source files (5 rows),csv,generated,source csvs + build_appendix_e_support.py,yes,
validation_log.txt,Appendix E validation log,"Run log showing source discovery, copy status, and output row counts",text,generated,build_appendix_e_support.py,yes,"Confirms discovery and generation, not semantic perfection"
source_exports\appendix_full_indicator_grid_C3C4_StageD_net_with_flags.csv,Appendix E source export - full_grid,Copied source export file appendix_full_indicator_grid_C3C4_StageD_net_with_flags.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\appendix_full_indicator_grid_C3C4_StageD_net_with_flags.csv,yes,
source_exports\appendix_screening_summary_sign_rank_vs_GWP.csv,Appendix E source export - screening_summary,Copied source export file appendix_screening_summary_sign_rank_vs_GWP.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\appendix_screening_summary_sign_rank_vs_GWP.csv,yes,
source_exports\heatmap_sign_consistency_vs_GWP_fraction.csv,Appendix E source export - heatmap_sign_consistency,Copied source export file heatmap_sign_consistency_vs_GWP_fraction.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\heatmap_sign_consistency_vs_GWP_fraction.csv,yes,
source_exports\methods_index_recipe2016_midpointH.csv,Appendix E source export - methods_index,Copied source export file methods_index_recipe2016_midpointH.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\methods_index_recipe2016_midpointH.csv,yes,
