method,method_id,impact_category,indicator,label,is_gwp100_baseline,is_gwp1000
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),acidification: terrestrial | terrestrial acidification potential (TAP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),climate change | global warming potential (GWP100),Yes,No
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),climate change | global warming potential (GWP1000),No,Yes
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),ecotoxicity: marine | marine ecotoxicity potential (METP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae,ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2,"energy resources: non-renewable, fossil",fossil fuel potential (FFP),"energy resources: non-renewable, fossil | fossil fuel potential (FFP)",No,No
"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0,eutrophication: freshwater,freshwater eutrophication potential (FEP),eutrophication: freshwater | freshwater eutrophication potential (FEP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6,eutrophication: marine,marine eutrophication potential (MEP),eutrophication: marine | marine eutrophication potential (MEP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11,human toxicity: carcinogenic,human toxicity potential (HTPc),human toxicity: carcinogenic | human toxicity potential (HTPc),No,No
"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c,human toxicity: non-carcinogenic,human toxicity potential (HTPnc),human toxicity: non-carcinogenic | human toxicity potential (HTPnc),No,No
"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",ionising_radiation__ionising_radiation_potential_IRP__87367cba,ionising radiation,ionising radiation potential (IRP),ionising radiation | ionising radiation potential (IRP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",land_use__agricultural_land_occupation_LOP__335c3f8c,land use,agricultural land occupation (LOP),land use | agricultural land occupation (LOP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a,material resources: metals/minerals,surplus ore potential (SOP),material resources: metals/minerals | surplus ore potential (SOP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635,ozone depletion,ozone depletion potential (ODPinfinite),ozone depletion | ozone depletion potential (ODPinfinite),No,No
"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",particulate_matter_formation__particulate_matter_formation_potenti__590402ad,particulate matter formation,particulate matter formation potential (PMFP),particulate matter formation | particulate matter formation potential (PMFP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d,photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a,photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP),No,No
"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",water_use__water_consumption_potential_WCP__96fc4bf7,water use,water consumption potential (WCP),water use | water consumption potential (WCP),No,No
