group,impact_category,indicator,label,method_id,included_in_thesis_table
Primary climate reference,climate change,global warming potential (GWP100),climate change | global warming potential (GWP100),climate_change__global_warming_potential_GWP100__60429ccf,Yes
Non-climate midpoints,acidification: terrestrial,terrestrial acidification potential (TAP),acidification: terrestrial | terrestrial acidification potential (TAP),acidification_terrestrial__terrestrial_acidification_potential___d8990d21,Yes
Non-climate midpoints,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP),ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,Yes
Non-climate midpoints,ecotoxicity: marine,marine ecotoxicity potential (METP),ecotoxicity: marine | marine ecotoxicity potential (METP),ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,Yes
Non-climate midpoints,ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP),ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae,Yes
Non-climate midpoints,"energy resources: non-renewable, fossil",fossil fuel potential (FFP),"energy resources: non-renewable, fossil | fossil fuel potential (FFP)",energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2,Yes
Non-climate midpoints,eutrophication: freshwater,freshwater eutrophication potential (FEP),eutrophication: freshwater | freshwater eutrophication potential (FEP),eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0,Yes
Non-climate midpoints,eutrophication: marine,marine eutrophication potential (MEP),eutrophication: marine | marine eutrophication potential (MEP),eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6,Yes
Non-climate midpoints,human toxicity: carcinogenic,human toxicity potential (HTPc),human toxicity: carcinogenic | human toxicity potential (HTPc),human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11,Yes
Non-climate midpoints,human toxicity: non-carcinogenic,human toxicity potential (HTPnc),human toxicity: non-carcinogenic | human toxicity potential (HTPnc),human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c,Yes
Non-climate midpoints,ionising radiation,ionising radiation potential (IRP),ionising radiation | ionising radiation potential (IRP),ionising_radiation__ionising_radiation_potential_IRP__87367cba,Yes
Non-climate midpoints,land use,agricultural land occupation (LOP),land use | agricultural land occupation (LOP),land_use__agricultural_land_occupation_LOP__335c3f8c,Yes
Non-climate midpoints,material resources: metals/minerals,surplus ore potential (SOP),material resources: metals/minerals | surplus ore potential (SOP),material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a,Yes
Non-climate midpoints,ozone depletion,ozone depletion potential (ODPinfinite),ozone depletion | ozone depletion potential (ODPinfinite),ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635,Yes
Non-climate midpoints,particulate matter formation,particulate matter formation potential (PMFP),particulate matter formation | particulate matter formation potential (PMFP),particulate_matter_formation__particulate_matter_formation_potenti__590402ad,Yes
Non-climate midpoints,photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP),photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d,Yes
Non-climate midpoints,photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP),photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a,Yes
Non-climate midpoints,water use,water consumption potential (WCP),water use | water consumption potential (WCP),water_use__water_consumption_potential_WCP__96fc4bf7,Yes
