route,scenario,aligned_n,total_n,fraction
Landfill,Contemporary,17.0,17.0,1.0
Reuse,Contemporary,16.0,17.0,0.9411764705882352
Conventional recycling,Contemporary,15.0,17.0,0.8823529411764706
Aluminium hydrolysis,Contemporary,14.0,17.0,0.8235294117647058
MS-FSC,Contemporary,14.0,17.0,0.8235294117647058
Landfill,SSP1-VLLO,16.0,17.0,0.9411764705882352
Reuse,SSP1-VLLO,16.0,17.0,0.9411764705882352
Conventional recycling,SSP1-VLLO,16.0,17.0,0.9411764705882352
Aluminium hydrolysis,SSP1-VLLO,12.0,17.0,0.7058823529411765
MS-FSC,SSP1-VLLO,15.0,17.0,0.8823529411764706
Landfill,SSP2-M,17.0,17.0,1.0
Reuse,SSP2-M,17.0,17.0,1.0
Conventional recycling,SSP2-M,16.0,17.0,0.9411764705882352
Aluminium hydrolysis,SSP2-M,12.0,17.0,0.7058823529411765
MS-FSC,SSP2-M,15.0,17.0,0.8823529411764706
Landfill,SSP5-H,16.0,17.0,0.9411764705882352
Reuse,SSP5-H,16.0,17.0,0.9411764705882352
Conventional recycling,SSP5-H,16.0,17.0,0.9411764705882352
Aluminium hydrolysis,SSP5-H,12.0,17.0,0.7058823529411765
MS-FSC,SSP5-H,14.0,17.0,0.8235294117647058
