filename,supports_thesis_item,description,format,generated_or_manual,source_or_script,redistributable_yes_no,notes
README.md,Appendix F folder guide,Folder-level purpose and scope,markdown,generated,build_appendix_f_support.py,yes,
MANIFEST.csv,Appendix F inventory,Machine-readable inventory of support files,csv,generated,build_appendix_f_support.py,yes,
table_f1_contemporary_bg_uncertainty.csv,Table F1,Contemporary background-exchange uncertainty summary (5 rows),csv,generated,mc_summary_primary*.csv + build_appendix_f_support.py,yes,
table_f2_hydrolysis_fg_uncertainty.csv,Table F2,Hydrolysis FG-only uncertainty summary (3 rows),csv,generated,prospective mc_summary_primary*.csv + build_appendix_f_support.py,yes,
table_f3_msfsc_fg_uncertainty.csv,Table F3,MS-FSC FG-only uncertainty summary (3 rows),csv,generated,prospective mc_summary_primary*.csv + build_appendix_f_support.py,yes,
table_f4_hydrolysis_uncertainty_inputs.csv,Table F4,Hydrolysis uncertainty inputs (8 rows),csv,generated,build_appendix_f_support.py,yes,Curated from finalized Appendix F table values
table_f5_msfsc_uncertainty_inputs.csv,Table F5,MS-FSC uncertainty inputs (2 rows),csv,generated,build_appendix_f_support.py,yes,Curated from finalized Appendix F table values
table_f6_convergence_summary.csv,Table F6,Prospective FG-only convergence summary (6 rows),csv,generated,convergence*.csv + build_appendix_f_support.py,yes,
run_manifest.csv,Appendix F uncertainty runs,Manifest of uncertainty run sources (9 rows),csv,generated,runmeta/summary/convergence files + build_appendix_f_support.py,yes,
driver_manifest.csv,Appendix F sensitivity drivers,Manifest of latest driver/sensitivity runs (8 rows),csv,generated,summary.json / rankings.csv / samples.csv + build_appendix_f_support.py,yes,
figure_manifest.csv,Appendix F sensitivity figures,Manifest of plot files detected in selected sensitivity runs (27 rows),csv,generated,plot files + build_appendix_f_support.py,yes,
validation_log.txt,Appendix F validation log,Run log showing source discovery and output row counts,text,generated,build_appendix_f_support.py,yes,"Confirms discovery and generation, not semantic perfection"
