rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.014823620352459002,15.646250717269094,"('ecoinvent_3.10.1.1_consequential_unitprocess', '69e8f988e4bf859d396afe191fd6ed5a')","diesel, burned in building machine",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,69e8f988e4bf859d396afe191fd6ed5a
2,0.010296096916518225,10.867474337227089,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8027e13c3672f267e1d96eaf7b2f395')",natural gas venting from petroleum/natural gas production,GLO,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395
3,0.003020447486108092,3.1880659057861602,"('ecoinvent_3.10.1.1_consequential_unitprocess', '095041594e910a517c82f66e4e6f2e3c')","treatment of sewage sludge, 97% water, WWT-SLF, waste aluminium, landfarming",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,095041594e910a517c82f66e4e6f2e3c
4,0.002599966815820149,2.744250843563578,"('ecoinvent_3.10.1.1_consequential_unitprocess', '23f96312ffa8ce40afd858a31608ccf3')","sweet gas, burned in gas turbine",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,23f96312ffa8ce40afd858a31608ccf3
5,0.0023859846704392448,2.5183938520835336,"('ecoinvent_3.10.1.1_consequential_unitprocess', '3252febf4974507c969b7bbadfa2ea81')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,3252febf4974507c969b7bbadfa2ea81
6,0.0020816693723614186,2.1971907088826685,"('ecoinvent_3.10.1.1_consequential_unitprocess', '92692f75c93c9f8e99b5d354f072c8df')","transport, freight, lorry >32 metric ton, EURO3",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,92692f75c93c9f8e99b5d354f072c8df
7,0.001900663639115772,2.0061401411882036,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b1d9116f292a8266262a95b5d6dc9b79')","transport, freight, lorry 16-32 metric ton, EURO3",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,b1d9116f292a8266262a95b5d6dc9b79
8,0.0018021236744722464,1.9021317440608667,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c9f6ade6f2d9519abce2145d41df16a6')",hard coal mine operation and hard coal preparation,CN,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6
9,0.001747531351831635,1.8445098442169894,"('ecoinvent_3.10.1.1_consequential_unitprocess', '52bf14ba3bee2e0a52887a35aaaf6f58')","transport, freight, lorry >32 metric ton, EURO4",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,52bf14ba3bee2e0a52887a35aaaf6f58
10,0.0017078996642335886,1.8026788133511285,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'd1877cbaf334affcac80b4d0cde6ce16')","transport, freight, lorry 16-32 metric ton, EURO4",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,d1877cbaf334affcac80b4d0cde6ce16
11,-0.0016416151392854136,-1.7327158575174555,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c2cce7ede60ad2e7795c191572716e6f')",hydrogen cyanide production,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,c2cce7ede60ad2e7795c191572716e6f
12,0.0015759207836637272,1.6633758222003858,"('ecoinvent_3.10.1.1_consequential_unitprocess', '28ed6161f5053c8145ec477676b1da00')",clinker production,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,28ed6161f5053c8145ec477676b1da00
13,0.001442785071737399,1.5228518018401438,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'e377be0a5ef24ba58cbfbd46cf29d2b7')","treatment of waste natural gas, sweet, burned in production flare",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,e377be0a5ef24ba58cbfbd46cf29d2b7
14,0.0013542937095760755,1.4294496500197182,"('ecoinvent_3.10.1.1_consequential_unitprocess', '9fd10d1c6f87bfc02e726bf681c49674')",pig iron production,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,9fd10d1c6f87bfc02e726bf681c49674
15,0.0013247953266403052,1.3983142671514899,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'fc7517472a4a0bdbcd1a2c18ca01c4e4')","electricity production, lignite",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,fc7517472a4a0bdbcd1a2c18ca01c4e4
16,0.001230808601316139,1.29911178937938,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'be5a06ec98a762d98fab57de3fce655c')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,ecoinvent_3.10.1.1_consequential_unitprocess,be5a06ec98a762d98fab57de3fce655c
17,0.0012170333484204949,1.2845720848150168,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'dbb6c9ad35e4ba4df39a4736589cbac6')","transport, freight, lorry >32 metric ton, EURO5",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,dbb6c9ad35e4ba4df39a4736589cbac6
18,0.0012087633067205934,1.2758431007475408,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b671ca98a35f3435330df1859bb7c2df')","treatment of sewage sludge, 70% water, WWT-SLF, waste aluminium, municipal incineration",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,b671ca98a35f3435330df1859bb7c2df
19,0.0010823500836827195,1.1424146308730723,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'db4c7dff88c7525ed002817cc44ca909')","electricity production, natural gas, combined cycle power plant",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,db4c7dff88c7525ed002817cc44ca909
