rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.26749362555535194,12.691043458878049,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bda2efdc18a7090e2ed97b489d698cf2')","treatment of waste polyethylene, municipal incineration",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,bda2efdc18a7090e2ed97b489d698cf2
2,0.189011933571621,8.967535799119977,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'ac35c2f196fd51fc6687f23df1e9662a')","heat production, natural gas, at boiler modulating >100kW",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,ac35c2f196fd51fc6687f23df1e9662a
3,0.18901193303977282,8.967535773886821,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'd86b9d5f164da0a8245f6b8b1e5bc977')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,d86b9d5f164da0a8245f6b8b1e5bc977
4,0.18831132150128352,8.93429576129101,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bd0da0ee6ef0d355e96b17ae547d5fa1')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,bd0da0ee6ef0d355e96b17ae547d5fa1
5,0.18123500727750597,8.598565101705425,"('ecoinvent_3.10.1.1_consequential_unitprocess', '974ff60d05b33b9e8d7200f2997c4b76')","heat production, natural gas, at industrial furnace >100kW",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,974ff60d05b33b9e8d7200f2997c4b76
6,0.13649527913183251,6.475920746886439,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8027e13c3672f267e1d96eaf7b2f395')",natural gas venting from petroleum/natural gas production,GLO,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395
7,0.0939803004584169,4.458828037191416,"('ecoinvent_3.10.1.1_consequential_unitprocess', '67e4bcdfe15144b2b5d6274021639cea')","silicon production, metallurgical grade",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,67e4bcdfe15144b2b5d6274021639cea
8,0.061629310157127616,2.9239584753504118,"('ecoinvent_3.10.1.1_consequential_unitprocess', '23f96312ffa8ce40afd858a31608ccf3')","sweet gas, burned in gas turbine",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,23f96312ffa8ce40afd858a31608ccf3
9,0.05027500102897262,2.3852614118529765,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c9f6ade6f2d9519abce2145d41df16a6')",hard coal mine operation and hard coal preparation,CN,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6
10,-0.043820022219560266,-2.0790095659395957,"('ecoinvent_3.10.1.1_consequential_unitprocess', '27adfe07cc735fbff529974b279bac9b')","heat and power co-generation, hard coal",PL,ecoinvent_3.10.1.1_consequential_unitprocess,27adfe07cc735fbff529974b279bac9b
11,0.04178792792503364,1.9825983077242524,"('ecoinvent_3.10.1.1_consequential_unitprocess', '41a2a163afba8d7325f07b7ac6d9dde2')",primary zinc production from concentrate,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,41a2a163afba8d7325f07b7ac6d9dde2
12,0.04021316475756211,1.9078847972459023,"('ecoinvent_3.10.1.1_consequential_unitprocess', '6ce31a91c536f71274f9bcfacc02e37b')",zinc mine operation,GLO,ecoinvent_3.10.1.1_consequential_unitprocess,6ce31a91c536f71274f9bcfacc02e37b
13,0.034428374743224854,1.6334295786588473,"('ecoinvent_3.10.1.1_consequential_unitprocess', '73c7821f17e9ead28e4f837a23b44b64')","electricity production, natural gas, conventional power plant",CA-AB,ecoinvent_3.10.1.1_consequential_unitprocess,73c7821f17e9ead28e4f837a23b44b64
14,0.0313267668194723,1.4862760123971386,"('ecoinvent_3.10.1.1_consequential_unitprocess', '6a3f8f6e58a31995842197c3b82c34fa')","silicon production, metallurgical grade",NO,ecoinvent_3.10.1.1_consequential_unitprocess,6a3f8f6e58a31995842197c3b82c34fa
15,-0.03083071378080888,-1.4627411313003804,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bbe685e0aff42aaf5bcb0387c5ea42fe')","heat and power co-generation, lignite",PL,ecoinvent_3.10.1.1_consequential_unitprocess,bbe685e0aff42aaf5bcb0387c5ea42fe
16,0.030545189556261114,1.4491946389876191,"('ecoinvent_3.10.1.1_consequential_unitprocess', '219ce8865aa75eb9df050a0b5961f8f9')","electricity production, natural gas, combined cycle power plant",MX,ecoinvent_3.10.1.1_consequential_unitprocess,219ce8865aa75eb9df050a0b5961f8f9
17,0.028401199846801436,1.3474745829614256,"('ecoinvent_3.10.1.1_consequential_unitprocess', '45303866281cffb6ccbdf036123c6449')","electricity production, natural gas, combined cycle power plant",AU,ecoinvent_3.10.1.1_consequential_unitprocess,45303866281cffb6ccbdf036123c6449
18,0.027247514978767103,1.2927388307816265,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c5c7f7882811dda99b7eb5fe60b71828')","electricity production, lignite",MX,ecoinvent_3.10.1.1_consequential_unitprocess,c5c7f7882811dda99b7eb5fe60b71828
19,0.025840246796481958,1.2259719998988419,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b0f8269752c645b942443307581cdb7a')","electricity production, natural gas, combined cycle power plant",CA-ON,ecoinvent_3.10.1.1_consequential_unitprocess,b0f8269752c645b942443307581cdb7a
20,0.02256519738471001,1.0705896264741337,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'da5879046070ed7f888f374a12396432')","electricity production, hard coal",AU,ecoinvent_3.10.1.1_consequential_unitprocess,da5879046070ed7f888f374a12396432
