rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.0012275114033818294,11.287894290614942,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b0f8269752c645b942443307581cdb7a')","electricity production, natural gas, combined cycle power plant",CA-ON,ecoinvent_3.10.1.1_consequential_unitprocess,b0f8269752c645b942443307581cdb7a
2,0.000614320946166426,5.649144995095544,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8027e13c3672f267e1d96eaf7b2f395')",natural gas venting from petroleum/natural gas production,GLO,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395
3,0.0004984597354633659,4.58371367185431,"('ecoinvent_3.10.1.1_consequential_unitprocess', '9fd10d1c6f87bfc02e726bf681c49674')",pig iron production,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,9fd10d1c6f87bfc02e726bf681c49674
4,0.0004537875814829794,4.172919482508744,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bd4b1109355124047a21af49482664f0')","heat and power co-generation, lignite",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,bd4b1109355124047a21af49482664f0
5,0.0003986045386525402,3.6654697330495,"('ecoinvent_3.10.1.1_consequential_unitprocess', '3252febf4974507c969b7bbadfa2ea81')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,3252febf4974507c969b7bbadfa2ea81
6,0.00029201309049400447,2.6852808763250064,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c9f6ade6f2d9519abce2145d41df16a6')",hard coal mine operation and hard coal preparation,CN,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6
7,0.00028033681239029274,2.577908681998008,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f5ccb6265c63b743d4cd760b86a8364f')","treatment of sewage sludge, 97% water, WWT, WW, average, landfarming",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,f5ccb6265c63b743d4cd760b86a8364f
8,0.00024453094264015893,2.2486466713889586,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'be5a06ec98a762d98fab57de3fce655c')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,ecoinvent_3.10.1.1_consequential_unitprocess,be5a06ec98a762d98fab57de3fce655c
9,0.0002235908879646019,2.05608705608422,"('ecoinvent_3.10.1.1_consequential_unitprocess', '23f96312ffa8ce40afd858a31608ccf3')","sweet gas, burned in gas turbine",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,23f96312ffa8ce40afd858a31608ccf3
10,0.00020545693644109957,1.8893316782486316,"('ecoinvent_3.10.1.1_consequential_unitprocess', '28ed6161f5053c8145ec477676b1da00')",clinker production,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,28ed6161f5053c8145ec477676b1da00
11,0.0001781859478610583,1.6385543449839575,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c510736aca37050154922e9f13484027')","heat and power co-generation, hard coal",RU,ecoinvent_3.10.1.1_consequential_unitprocess,c510736aca37050154922e9f13484027
12,0.00016239561111912887,1.4933502748098986,"('ecoinvent_3.10.1.1_consequential_unitprocess', '69e8f988e4bf859d396afe191fd6ed5a')","diesel, burned in building machine",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,69e8f988e4bf859d396afe191fd6ed5a
13,0.00015297367606637567,1.4067084671692445,"('ecoinvent_3.10.1.1_consequential_unitprocess', '61984c2998ce4148c5affeef58149879')",iron sinter production,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,61984c2998ce4148c5affeef58149879
14,0.00014841059969596812,1.3647475342058044,"('ecoinvent_3.10.1.1_consequential_unitprocess', '01a31c6bb3b89cd7d8219e08836ad847')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,ecoinvent_3.10.1.1_consequential_unitprocess,01a31c6bb3b89cd7d8219e08836ad847
15,0.00014517876932248713,1.3350284134542196,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b78fffb027d821832edb7e1a8d629e61')","treatment of wastewater, average, wastewater treatment",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,b78fffb027d821832edb7e1a8d629e61
16,0.00014150270646936196,1.3012242395969231,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'e057b75f4addfb4c60ceb890b685b9d4')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,e057b75f4addfb4c60ceb890b685b9d4
17,0.0001210959565044036,1.1135687638230596,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'ac35c2f196fd51fc6687f23df1e9662a')","heat production, natural gas, at boiler modulating >100kW",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,ac35c2f196fd51fc6687f23df1e9662a
18,0.0001210959561636597,1.1135687606896623,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'd86b9d5f164da0a8245f6b8b1e5bc977')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,d86b9d5f164da0a8245f6b8b1e5bc977
19,0.00012065399968447794,1.1095046371268895,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bd0da0ee6ef0d355e96b17ae547d5fa1')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,bd0da0ee6ef0d355e96b17ae547d5fa1
20,0.00011862612147755814,1.0908567656929553,"('ecoinvent_3.10.1.1_consequential_unitprocess', '96504536239fda2a2cf514d648673c2e')","quicklime production, in pieces, loose",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,96504536239fda2a2cf514d648673c2e
