rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-0.40398269634842804,8.103568216691437,"('ecoinvent_3.10.1.1_consequential_unitprocess', '3252febf4974507c969b7bbadfa2ea81')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,3252febf4974507c969b7bbadfa2ea81
2,-0.2550132010631849,5.115359864794886,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8027e13c3672f267e1d96eaf7b2f395')",natural gas venting from petroleum/natural gas production,GLO,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395
3,-0.17785995345231112,3.567727724098536,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'be5a06ec98a762d98fab57de3fce655c')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,ecoinvent_3.10.1.1_consequential_unitprocess,be5a06ec98a762d98fab57de3fce655c
4,-0.17331033142332627,3.476465962628825,"('ecoinvent_3.10.1.1_consequential_unitprocess', '2605a835766efc497850206c80e97749')","treatment of municipal solid waste, unsanitary landfill, wet infiltration class (500mm)",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,2605a835766efc497850206c80e97749
5,-0.1504130244842166,3.0171643874951117,"('ecoinvent_3.10.1.1_consequential_unitprocess', '01a31c6bb3b89cd7d8219e08836ad847')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,ecoinvent_3.10.1.1_consequential_unitprocess,01a31c6bb3b89cd7d8219e08836ad847
6,-0.14341192675159894,2.8767279936079366,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'e057b75f4addfb4c60ceb890b685b9d4')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,e057b75f4addfb4c60ceb890b685b9d4
7,-0.13647263687819738,2.7375314157030117,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'fc7517472a4a0bdbcd1a2c18ca01c4e4')","electricity production, lignite",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,fc7517472a4a0bdbcd1a2c18ca01c4e4
8,-0.13434423637788112,2.694837412215602,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'db4c7dff88c7525ed002817cc44ca909')","electricity production, natural gas, combined cycle power plant",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,db4c7dff88c7525ed002817cc44ca909
9,-0.12679658803061217,2.543437652249297,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c9f6ade6f2d9519abce2145d41df16a6')",hard coal mine operation and hard coal preparation,CN,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6
10,-0.1064905809048679,2.136115468800706,"('ecoinvent_3.10.1.1_consequential_unitprocess', '47c88a3184294aafffcf3690e2e62c22')","treatment of municipal solid waste, open dump, wet infiltration class (500mm)",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,47c88a3184294aafffcf3690e2e62c22
11,-0.09640657807910714,1.9338384764084808,"('ecoinvent_3.10.1.1_consequential_unitprocess', '611aaa9d1b55d1b67f0b5468b0cdf08c')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",US-SERC,ecoinvent_3.10.1.1_consequential_unitprocess,611aaa9d1b55d1b67f0b5468b0cdf08c
12,-0.08481507903559851,1.7013223214299753,"('ecoinvent_3.10.1.1_consequential_unitprocess', '23f96312ffa8ce40afd858a31608ccf3')","sweet gas, burned in gas turbine",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,23f96312ffa8ce40afd858a31608ccf3
13,-0.07623559890805444,1.5292248452119879,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8659c6a89e322bc26852a2082ab88bc')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",NL,ecoinvent_3.10.1.1_consequential_unitprocess,f8659c6a89e322bc26852a2082ab88bc
14,-0.0694367651302125,1.3928457037024968,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'a991a4c6a62023d83bbd974eb6d99e3e')","electricity production, hard coal",IN-UP,ecoinvent_3.10.1.1_consequential_unitprocess,a991a4c6a62023d83bbd974eb6d99e3e
