rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-8.970872977197981,18.81208772446696,"('ecoinvent_3.10.1.1_consequential_unitprocess', '7feee803d7617b42630c276a615c7956')","heat production, at hard coal industrial furnace 1-10MW",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,7feee803d7617b42630c276a615c7956
2,-6.960990144524232,14.597325988316664,"('ecoinvent_3.10.1.1_consequential_unitprocess', '42327f8e330c6020019db8778942440b')","electricity production, hard coal",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,42327f8e330c6020019db8778942440b
3,-4.150436661233822,8.703542984549303,"('ecoinvent_3.10.1.1_consequential_unitprocess', '9a8e8330e5fc29384d5605fe6cc3cd69')","aluminium production, primary, liquid, prebake",CA,ecoinvent_3.10.1.1_consequential_unitprocess,9a8e8330e5fc29384d5605fe6cc3cd69
4,-2.1055356437771864,4.415347462661357,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c9f6ade6f2d9519abce2145d41df16a6')",hard coal mine operation and hard coal preparation,CN,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6
5,-1.4846564579608676,3.1133522455224756,"('ecoinvent_3.10.1.1_consequential_unitprocess', '622d8d12d870eb02a3ef56cee26020ce')","electricity production, natural gas, conventional power plant",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,622d8d12d870eb02a3ef56cee26020ce
6,-1.3832821750352586,2.9007684860323093,"('ecoinvent_3.10.1.1_consequential_unitprocess', '3252febf4974507c969b7bbadfa2ea81')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,3252febf4974507c969b7bbadfa2ea81
7,-1.3580265217891203,2.8478069107639152,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8027e13c3672f267e1d96eaf7b2f395')",natural gas venting from petroleum/natural gas production,GLO,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395
8,-1.2844784910159004,2.693575320328469,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f9aeabbfa9e8944930145fcce0102976')","aluminium production, primary, liquid, prebake",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,f9aeabbfa9e8944930145fcce0102976
9,-1.235384763895494,2.5906248601382953,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'fc7517472a4a0bdbcd1a2c18ca01c4e4')","electricity production, lignite",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,fc7517472a4a0bdbcd1a2c18ca01c4e4
10,-0.8060411080717839,1.6902832169304838,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'dc49ce9a97ca4ea267ac998d1d208245')","electricity production, natural gas, conventional power plant",CA-BC,ecoinvent_3.10.1.1_consequential_unitprocess,dc49ce9a97ca4ea267ac998d1d208245
