rank,contribution,database,code,location,name,activity_key,index
1,2.499715901618765e-13,ecoinvent_3.10.1.1_consequential_unitprocess,bd4b1109355124047a21af49482664f0,RoW,"heat and power co-generation, lignite",252224264773640192,13041
2,9.815479045539135e-14,ecoinvent_3.10.1.1_consequential_unitprocess,c510736aca37050154922e9f13484027,RU,"heat and power co-generation, hard coal",252224324710244352,17991
3,-9.044672909296328e-14,ecoinvent_3.10.1.1_consequential_unitprocess,7feee803d7617b42630c276a615c7956,RoW,"heat production, at hard coal industrial furnace 1-10MW",252224182003245056,5184
4,6.006888904023405e-14,ecoinvent_3.10.1.1_consequential_unitprocess,766e4f76c79149785c287c9c444f945c,RU,"heat and power co-generation, lignite",252224165741928448,3717
5,5.3890386799517594e-14,ecoinvent_3.10.1.1_consequential_unitprocess,27adfe07cc735fbff529974b279bac9b,PL,"heat and power co-generation, hard coal",252224274219212800,13882
6,-5.0260249992519975e-14,mtcw_foreground_contemporary,h2_production_smr_proxy_CA_contemp_ABelec,US,"Hydrogen production, SMR (US base; electricity export credit stripped; contem)",274632556518907904,21000
7,3.7915981628014e-14,ecoinvent_3.10.1.1_consequential_unitprocess,bbe685e0aff42aaf5bcb0387c5ea42fe,PL,"heat and power co-generation, lignite",252224253742620672,11984
8,-1.7297279137064412e-14,ecoinvent_3.10.1.1_consequential_unitprocess,41f1d9f2223bad3e6360290180d4e606,PL,"electricity production, natural gas, combined cycle power plant",252224290518278144,14958
9,-1.6174689243874084e-14,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6,CN,hard coal mine operation and hard coal preparation,252224229600206848,9800
10,1.547811682761755e-14,ecoinvent_3.10.1.1_consequential_unitprocess,c65938394f240dcf1b7886da269cd16f,RU,"heat and power co-generation, oil",252224142094442496,2855
11,-1.4206328913567207e-14,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395,GLO,natural gas venting from petroleum/natural gas production,252224120929984513,1301
12,1.2313573912282924e-14,ecoinvent_3.10.1.1_consequential_unitprocess,e5bfdbe136fb2e23a18525a181fb58c4,DE,"heat and power co-generation, hard coal",252224128123215872,1956
13,1.2163668235461934e-14,ecoinvent_3.10.1.1_consequential_unitprocess,7ed185b511e781d30d116466107ae46b,RU,hard coal mine operation and hard coal preparation,252224211577282560,8015
14,1.1979292271685232e-14,ecoinvent_3.10.1.1_consequential_unitprocess,5c91d4ad32cc7aabf4536b362f73417d,CZ,"heat and power co-generation, lignite",252224319148597248,17532
15,-1.1738527035311557e-14,ecoinvent_3.10.1.1_consequential_unitprocess,fc7517472a4a0bdbcd1a2c18ca01c4e4,RoW,"electricity production, lignite",252224212214816768,8032
16,-9.800743039701609e-15,ecoinvent_3.10.1.1_consequential_unitprocess,96504536239fda2a2cf514d648673c2e,RoW,"quicklime production, in pieces, loose",252224139787575296,2657
17,-8.51756773743374e-15,ecoinvent_3.10.1.1_consequential_unitprocess,8fb5d16a6b9d720c2f56837a827f1b31,RU,"electricity production, natural gas, combined cycle power plant",252224194728763392,6364
18,-8.061445284123113e-15,ecoinvent_3.10.1.1_consequential_unitprocess,db4c7dff88c7525ed002817cc44ca909,RoW,"electricity production, natural gas, combined cycle power plant",252224227133956096,9577
19,7.49658943285804e-15,ecoinvent_3.10.1.1_consequential_unitprocess,ef701b8e4ff777712b18b6c694812432,GR,"heat and power co-generation, lignite",252224124474171392,1620
20,6.735903443468542e-15,ecoinvent_3.10.1.1_consequential_unitprocess,1bb8d650a0759c452f0385ff505d6bff,KR,"heat and power co-generation, hard coal",252224285824851968,14499
