rank,contribution,database,code,location,name,activity_key,index
1,-9.238762042300892e-14,ecoinvent_3.10.1.1_consequential_unitprocess,7feee803d7617b42630c276a615c7956,RoW,"heat production, at hard coal industrial furnace 1-10MW",252224182003245056,5184
2,-5.0260249992519975e-14,mtcw_foreground_contemporary,h2_production_smr_proxy_CA_contemp_ABelec,US,"Hydrogen production, SMR (US base; electricity export credit stripped; contem)",274632556518907904,21000
3,-1.2963294443734072e-14,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395,GLO,natural gas venting from petroleum/natural gas production,252224120929984513,1301
4,-1.1330439712434985e-14,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6,CN,hard coal mine operation and hard coal preparation,252224229600206848,9800
5,-6.5949619978554775e-15,ecoinvent_3.10.1.1_consequential_unitprocess,bd4b1109355124047a21af49482664f0,RoW,"heat and power co-generation, lignite",252224264773640192,13041
6,-6.266826224128338e-15,ecoinvent_3.10.1.1_consequential_unitprocess,bfaaa6b4cf0c6574ef66ca9a02d64090,RoW,"heat production, heavy fuel oil, at industrial furnace 1MW",252224164982759424,3649
7,-6.0625507676189146e-15,ecoinvent_3.10.1.1_consequential_unitprocess,3252febf4974507c969b7bbadfa2ea81,RoW,"heat and power co-generation, natural gas, 200kW electrical, lean burn",252224204220473344,7244
8,-5.381570836465495e-15,ecoinvent_3.10.1.1_consequential_unitprocess,be5a06ec98a762d98fab57de3fce655c,IT,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",252224221501005824,8994
9,-5.031622235108953e-15,ecoinvent_3.10.1.1_consequential_unitprocess,23f96312ffa8ce40afd858a31608ccf3,GLO,"sweet gas, burned in gas turbine",252224199778705408,6831
10,-4.457672265193715e-15,ecoinvent_3.10.1.1_consequential_unitprocess,c8851ed7b1ee1f9f7afe86857fd10c18,GLO,"transport, freight, sea, bulk carrier for dry goods",252224349083344898,20234
11,-4.167072285344198e-15,ecoinvent_3.10.1.1_consequential_unitprocess,96504536239fda2a2cf514d648673c2e,RoW,"quicklime production, in pieces, loose",252224139787575296,2657
12,-2.589602732620846e-15,ecoinvent_3.10.1.1_consequential_unitprocess,c510736aca37050154922e9f13484027,RU,"heat and power co-generation, hard coal",252224324710244352,17991
13,-2.3066871874229564e-15,ecoinvent_3.10.1.1_consequential_unitprocess,f8659c6a89e322bc26852a2082ab88bc,NL,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",252224311653376002,16844
14,-2.2573902716641748e-15,ecoinvent_3.10.1.1_consequential_unitprocess,01a31c6bb3b89cd7d8219e08836ad847,RU,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",252224259551731712,12546
15,-2.152318187868451e-15,ecoinvent_3.10.1.1_consequential_unitprocess,e057b75f4addfb4c60ceb890b685b9d4,RoW,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",252224133324152832,2517
16,-2.1112063216855908e-15,ecoinvent_3.10.1.1_consequential_unitprocess,edf425ea1bac453a8fbbe9c2f88e3921,RoW,"heat production, light fuel oil, at industrial furnace 1MW",252224262999449600,12867
17,-1.7431206922564998e-15,ecoinvent_3.10.1.1_consequential_unitprocess,69e8f988e4bf859d396afe191fd6ed5a,GLO,"diesel, burned in building machine",252224307014475784,16462
18,-1.667494100575975e-15,ecoinvent_3.10.1.1_consequential_unitprocess,27adfe07cc735fbff529974b279bac9b,PL,"heat and power co-generation, hard coal",252224274219212800,13882
19,-1.662586401828567e-15,ecoinvent_3.10.1.1_consequential_unitprocess,6125492485cc8d40f699a5dce7aa7579,RoW,hard coal mine operation and hard coal preparation,252224125388529664,1698
20,-1.584788256206239e-15,ecoinvent_3.10.1.1_consequential_unitprocess,766e4f76c79149785c287c9c444f945c,RU,"heat and power co-generation, lignite",252224165741928448,3717
