rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,4.1072817540485245,77.253955707868,"('ecoinvent_3.10.1.1_consequential_unitprocess', '73c7821f17e9ead28e4f837a23b44b64')","electricity production, natural gas, conventional power plant",CA-AB,ecoinvent_3.10.1.1_consequential_unitprocess,73c7821f17e9ead28e4f837a23b44b64
2,0.5362117750654328,10.085619444078885,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c741d982f6eb1104a59d7f2de3616a7a')","treatment of waste rubber, unspecified, municipal incineration",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,c741d982f6eb1104a59d7f2de3616a7a
3,0.5343326148169847,10.05027427632688,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8027e13c3672f267e1d96eaf7b2f395')",natural gas venting from petroleum/natural gas production,GLO,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395
4,0.25987505541070444,4.887995813895439,"('ecoinvent_3.10.1.1_consequential_unitprocess', '23f96312ffa8ce40afd858a31608ccf3')","sweet gas, burned in gas turbine",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,23f96312ffa8ce40afd858a31608ccf3
5,0.07757932923015183,1.4591913637978908,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'da57a8c48514f5d6d7f675cac6b01843')","electricity production, hydro, reservoir, non-alpine region",CA-QC,ecoinvent_3.10.1.1_consequential_unitprocess,da57a8c48514f5d6d7f675cac6b01843
6,-0.07038688425905158,-1.3239085031368316,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bd4b1109355124047a21af49482664f0')","heat and power co-generation, lignite",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,bd4b1109355124047a21af49482664f0
7,0.054752395145611914,1.0298390426489397,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b4d7b2901461ced7526088057a0205ad')","market for natural gas, high pressure",CA,ecoinvent_3.10.1.1_consequential_unitprocess,b4d7b2901461ced7526088057a0205ad
8,-0.04886752240395007,-0.9191503377207575,"('ecoinvent_3.10.1.1_consequential_unitprocess', '98836c2833be34083b84f6ee8c185215')","electricity production, hard coal",CL,ecoinvent_3.10.1.1_consequential_unitprocess,98836c2833be34083b84f6ee8c185215
9,0.039605431849927944,0.7449394663293826,"('ecoinvent_3.10.1.1_consequential_unitprocess', '1ebe0b9e6041a3f21753dc128258d4b5')","diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,1ebe0b9e6041a3f21753dc128258d4b5
10,-0.03649029847373629,-0.6863468519728929,"('ecoinvent_3.10.1.1_consequential_unitprocess', '9fd10d1c6f87bfc02e726bf681c49674')",pig iron production,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,9fd10d1c6f87bfc02e726bf681c49674
