route,scenario,project,fg_db,stage,scaling_note,method,unit,score
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",kg SO2-Eq,-0.2729167522503953
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",kg CO2-Eq,-50.501234734248094
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","kg 1,4-DCB-Eq",35.54620973142963
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","kg 1,4-DCB-Eq",41.99548162668294
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","kg 1,4-DCB-Eq",-58.07271235543649
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",kg oil-Eq,-9.477964513337
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",kg P-Eq,-0.01835988155302413
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",kg N-Eq,-0.0011188151799132599
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","kg 1,4-DCB-Eq",-34.0495612179128
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","kg 1,4-DCB-Eq",-57.70113487468365
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",kBq Co-60-Eq,0.6354516694328817
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",m2*a crop-Eq,-0.6725462885684975
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",kg Cu-Eq,-0.5686302132841481
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",kg CFC-11-Eq,-9.277960436136874e-06
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",kg PM2.5-Eq,-0.11683497658094788
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",kg NOx-Eq,-0.14473167581123875
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",kg NOx-Eq,-0.1474947270522153
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",m3,-0.04339314294765801
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",kg SO2-Eq,-0.17276416568810785
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",kg CO2-Eq,-27.109926369952134
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","kg 1,4-DCB-Eq",-1.661712895934639
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","kg 1,4-DCB-Eq",-2.341836729969292
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","kg 1,4-DCB-Eq",-26.240583343662966
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",kg oil-Eq,-5.41859794476628
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",kg P-Eq,-0.006502765338561489
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",kg N-Eq,-0.0005856993625027404
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","kg 1,4-DCB-Eq",-40.73081389871648
