route,scenario,project,fg_db,stage,scaling_note,method,unit,score
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | acidification: terrestrial no LT | terrestrial acidification potential (TAP) no LT",kg SO2-Eq,-0.27291669240068805
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",kg CO2-Eq,-50.501232236251795
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | ecotoxicity: freshwater no LT | freshwater ecotoxicity potential (FETP) no LT","kg 1,4-DCB-Eq",0.004669378577505436
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | ecotoxicity: marine no LT | marine ecotoxicity potential (METP) no LT","kg 1,4-DCB-Eq",-0.02622381082241194
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | ecotoxicity: terrestrial no LT | terrestrial ecotoxicity potential (TETP) no LT","kg 1,4-DCB-Eq",-58.29453099712893
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | energy resources: non-renewable, fossil no LT | fossil fuel potential (FFP) no LT",kg oil-Eq,-9.477964513337
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | eutrophication: freshwater no LT | freshwater eutrophication potential (FEP) no LT",kg P-Eq,-0.0018479439567845699
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | eutrophication: marine no LT | marine eutrophication potential (MEP) no LT",kg N-Eq,5.5088940634451e-05
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | human toxicity: carcinogenic no LT | human toxicity potential (HTPc) no LT","kg 1,4-DCB-Eq",-0.12481513401619038
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | human toxicity: non-carcinogenic no LT | human toxicity potential (HTPnc) no LT","kg 1,4-DCB-Eq",-10.96756801197322
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | ionising radiation no LT | ionising radiation potential (IRP) no LT",kBq Co-60-Eq,0.10939254289502232
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | land use no LT | agricultural land occupation (LOP) no LT",m2*a crop-Eq,-0.6725462885684975
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | material resources: metals/minerals no LT | surplus ore potential (SOP) no LT",kg Cu-Eq,-0.5686302132841481
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | ozone depletion no LT | ozone depletion potential (ODPinfinite) no LT",kg CFC-11-Eq,-9.277868228220185e-06
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | particulate matter formation no LT | particulate matter formation potential (PMFP) no LT",kg PM2.5-Eq,-0.11683893528763611
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | photochemical oxidant formation: human health no LT | photochemical oxidant formation potential: humans (HOFP) no LT",kg NOx-Eq,-0.14473157453059837
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | photochemical oxidant formation: terrestrial ecosystems no LT | photochemical oxidant formation potential: ecosystems (EOFP) no LT",kg NOx-Eq,-0.14749462577157496
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | water use no LT | water consumption potential (WCP) no LT",m3,-0.04339314294765801
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",kg SO2-Eq,-0.2729167522503953
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",kg CO2-Eq,-50.501234734248094
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","kg 1,4-DCB-Eq",35.54620973142963
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","kg 1,4-DCB-Eq",41.99548162668294
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","kg 1,4-DCB-Eq",-58.07271235543649
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",kg oil-Eq,-9.477964513337
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",kg P-Eq,-0.01835988155302413
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",kg N-Eq,-0.0011188151799132599
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","kg 1,4-DCB-Eq",-34.0495612179128
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","kg 1,4-DCB-Eq",-57.70113487468365
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",kBq Co-60-Eq,0.6354516694328817
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",m2*a crop-Eq,-0.6725462885684975
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",kg Cu-Eq,-0.5686302132841481
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",kg CFC-11-Eq,-9.277960436136874e-06
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",kg PM2.5-Eq,-0.11683497658094788
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",kg NOx-Eq,-0.14473167581123875
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",kg NOx-Eq,-0.1474947270522153
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",m3,-0.04339314294765801
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | acidification: terrestrial no LT | terrestrial acidification potential (TAP) no LT",kg SO2-Eq,-0.17276400182717766
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",kg CO2-Eq,-27.109927208129296
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | ecotoxicity: freshwater no LT | freshwater ecotoxicity potential (FETP) no LT","kg 1,4-DCB-Eq",-0.01638850098970909
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | ecotoxicity: marine no LT | marine ecotoxicity potential (METP) no LT","kg 1,4-DCB-Eq",-0.030346449260693065
