route,scenario,project,fg_db,stage,scaling_note,method,total_score,flow_key,flow_name,flow_categories,flow_unit,contribution,percent_of_total_abs
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1031,"Carbon dioxide, fossil",air / non-urban air or from high stacks,kilogram,-28.01325618453611,-55.470438162452574
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,107,"Carbon dioxide, fossil",air / urban air close to ground,kilogram,-7.916500582234037,-15.67585549916338
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1390,"Methane, fossil",air / non-urban air or from high stacks,kilogram,-6.82420031110983,-13.512937548994037
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1034,"Carbon dioxide, fossil",air,kilogram,-5.245010470945038,-10.385905411116738
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1401,Tetrafluoromethane,air,kilogram,-1.6412297648585639,-3.249880470240348
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1653,Sulfur hexafluoride,air,kilogram,-0.26455450044073653,-0.5238574894908963
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1182,Hexafluoroethane,air,kilogram,-0.15708270444459504,-0.3110472551239768
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,4193,Dinitrogen monoxide,air / non-urban air or from high stacks,kilogram,-0.13434927822880818,-0.26603167018745666
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,4192,Dinitrogen monoxide,air / urban air close to ground,kilogram,-0.06869700298032165,-0.13603034330115865
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,3215,"Carbon dioxide, from soil or biomass stock",air / non-urban air or from high stacks,kilogram,-0.06763328133328125,-0.13392401530217404
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,4195,Dinitrogen monoxide,air,kilogram,-0.06364276729327471,-0.12602220050298
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1357,"Methane, non-fossil",air / non-urban air or from high stacks,kilogram,-0.059165563835204465,-0.11715666784495576
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,394,"Methane, fossil",air / urban air close to ground,kilogram,-0.04254546557712174,-0.08424638684778327
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1392,"Methane, fossil",air,kilogram,-0.002076653477988949,-0.004112084563707981
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1266,"Hydrocarbons, chlorinated",air,kilogram,0.001399805531719417,0.0027718243704051852
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1405,Trifluoromethane,air / non-urban air or from high stacks,kilogram,-0.0012663848457937779,-0.002507631451899852
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,3208,"Carbon dioxide, from soil or biomass stock",air,kilogram,-0.0009763798973768757,-0.001933378267907439
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,396,"Methane, non-fossil",air / urban air close to ground,kilogram,-0.00015419924263982695,-0.00030533756937086267
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,237,Hexafluoroethane,air / urban air close to ground,kilogram,-0.00011789233196799886,-0.00023344445455320434
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.501234734248094,1359,"Methane, non-fossil",air,kilogram,-5.7639008159408345e-05,-0.00011413385922685109
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,107,"Carbon dioxide, fossil",air / urban air close to ground,kilogram,-10.392193306758747,-38.33353571287142
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,1031,"Carbon dioxide, fossil",air / non-urban air or from high stacks,kilogram,-6.262127385399196,-23.099020262703327
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,1034,"Carbon dioxide, fossil",air,kilogram,-5.818645544066333,-21.46315509921692
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,1390,"Methane, fossil",air / non-urban air or from high stacks,kilogram,-2.8036070596001244,-10.341625504035164
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,1401,Tetrafluoromethane,air,kilogram,-0.8653413237153043,-3.1919722389007434
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,3215,"Carbon dioxide, from soil or biomass stock",air / non-urban air or from high stacks,kilogram,-0.35730219116662165,-1.3179755130675868
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,1653,Sulfur hexafluoride,air,kilogram,-0.1853369127422268,-0.6836496352407985
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,1182,Hexafluoroethane,air,kilogram,-0.12668522691143982,-0.46730199552240065
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,394,"Methane, fossil",air / urban air close to ground,kilogram,-0.07482703888233849,-0.2760134345671799
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,4195,Dinitrogen monoxide,air,kilogram,-0.06942781632819255,-0.2560973990882703
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,4192,Dinitrogen monoxide,air / urban air close to ground,kilogram,-0.06860287731705283,-0.25305445828539874
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,1357,"Methane, non-fossil",air / non-urban air or from high stacks,kilogram,-0.04336672935583458,-0.15996623806363788
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,4193,Dinitrogen monoxide,air / non-urban air or from high stacks,kilogram,-0.03869870285664923,-0.142747355077813
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.109926369952134,1392,"Methane, fossil",air,kilogram,-0.0016726301912926495,-0.006169807208132239
