scenario,route,case,bg_db,solver,tech_shape,n_activities,n_products,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP1VLLO_2050,landfill,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,0.00022845739289824703,0.07537107223047271,0.08321383013737549,0.029790393306837443,0.041018733309212345,0.5272229219937985,0.03227433578345606,6.295199251580259e-06,3.852880655530134e-05,0.004830229740787111,1.0718318025097262,1.5258212284808017e-06,0.013240933381225253,0.000374430148510122,7.040254666021204e-08,0.00010580066809278831,0.0004151836202940233,0.00043723838274098604,0.0007881181066623224
SSP1VLLO_2050,landfill,net,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,0.00022845739289824703,0.07537107223047271,0.08321383013737549,0.029790393306837443,0.041018733309212345,0.5272229219937985,0.03227433578345606,6.295199251580259e-06,3.852880655530134e-05,0.004830229740787111,1.0718318025097262,1.5258212284808017e-06,0.013240933381225253,0.000374430148510122,7.040254666021204e-08,0.00010580066809278831,0.0004151836202940233,0.00043723838274098604,0.0007881181066623224
SSP1VLLO_2050,recycling_postcons,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.20718946810045713,-18.47310438069736,-19.48069623027423,-2.55309437720324,-3.383437843113398,-72.79822120174231,-3.986405418473872,-0.007203446902538926,-0.00048440426510821367,-47.84518191620338,-17.92556342145762,0.23610633101029965,-0.7797721397219897,-0.5715378836150271,-3.4893096261804373e-06,-0.07294379326019029,-0.06952318239737404,-0.07111417095955444,0.05320434649325817
SSP1VLLO_2050,recycling_postcons,joint,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.39813798873788836,-36.58751640346899,-38.59727074310305,-5.645064750801829,-7.5237792045621505,-181.74731031243692,-7.96955350491471,-0.014002770413674539,-0.0008978493242757944,-91.55214130397435,-64.1983567189457,0.4711713961200146,-1.6023359717530319,-1.1551975556994485,-7.918692027774496e-06,-0.1398869339854043,-0.1360367717354862,-0.13932455254354487,0.11041382483708494
SSP1VLLO_2050,recycling_postcons,net,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.20718946810045713,-18.47310438069736,-19.48069623027423,-2.55309437720324,-3.383437843113398,-72.79822120174231,-3.986405418473872,-0.007203446902538926,-0.00048440426510821367,-47.84518191620338,-17.92556342145762,0.23610633101029965,-0.7797721397219897,-0.5715378836150271,-3.4893096261804373e-06,-0.07294379326019029,-0.06952318239737404,-0.07111417095955444,0.05320434649325817
SSP1VLLO_2050,recycling_postcons,stageD_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.19094852063743126,-18.11441202277161,-19.1165745128288,-3.091970373598592,-4.14034136144875,-108.9490891106947,-3.983148086440833,-0.006799323511135601,-0.00041344505916758015,-43.706959387770816,-46.2727932974881,0.23506506510971492,-0.8225638320310404,-0.5836596720844207,-4.4293824015940576e-06,-0.06694314072521397,-0.06651358933811218,-0.0682103815839904,0.05720947834382647
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,2.6396805827242895e-05,0.007308015705423526,0.0107754141570452,0.0007516896311545458,0.0010045864510459014,0.044520407855296526,0.0019568102953901757,2.805124527992347e-05,5.781175761115583e-05,0.004637088676483887,0.045593548059510255,-1.2056407968823779e-05,0.001310075591419815,0.00011247895677937948,1.4154785234862709e-08,1.4573987914451546e-05,2.021655303915096e-05,2.1497694776134744e-05,0.001438325084937013
SSP1VLLO_2050,reuse,joint,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.204453636949471,-22.31575750419517,-23.60254213461348,-3.6179015314581466,-4.827466630334801,-123.37655023094017,-5.055013927973976,-0.007694763573202566,-0.0011241982476088846,-46.29907412041311,-55.0323342390905,0.2557486976719044,-1.0072512181985382,-0.63618802026674,-5.639086710596187e-06,-0.07277458310059208,-0.07411653790994281,-0.07632289618708156,0.04119034287857867
SSP1VLLO_2050,reuse,net,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.204453636949471,-22.31575750419517,-23.60254213461348,-3.6179015314581466,-4.827466630334801,-123.37655023094017,-5.055013927973976,-0.007694763573202566,-0.0011241982476088846,-46.29907412041311,-55.0323342390905,0.2557486976719044,-1.0072512181985382,-0.63618802026674,-5.639086710596187e-06,-0.07277458310059208,-0.07411653790994281,-0.07632289618708156,0.04119034287857867
SSP1VLLO_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.2044800337552981,-22.323065519900556,-23.613317548770492,-3.618653221089302,-4.8284712167858475,-123.42107063879534,-5.056970738269367,-0.007722814818482494,-0.001182010005220042,-46.30371120908963,-55.07792778715005,0.2557607540798731,-1.0085612937899582,-0.6363004992235198,-5.6532414958310365e-06,-0.07278915708850653,-0.07413675446298194,-0.07634439388185765,0.03975201779364177
