rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-0.2675315583716136,16.941632769192612,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0aecf4dda4f54a168146ade8c87019de')","treatment of waste polyethylene, municipal incineration",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0aecf4dda4f54a168146ade8c87019de
2,-0.18897693567922175,11.967103490936832,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '49c157ed3e3d4884bcb9a61e6982ae93')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,49c157ed3e3d4884bcb9a61e6982ae93
3,-0.1889769351474721,11.967103457263395,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b2826940e4b549f2aa2962eaf8b98671')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b2826940e4b549f2aa2962eaf8b98671
4,-0.1882764538438146,11.922744963332873,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7214c07373b0488e9f7aef0b434a272a')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7214c07373b0488e9f7aef0b434a272a
5,-0.18120145941168447,11.47471573551842,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '066daebe2c354a039012b8b027a18a4e')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,066daebe2c354a039012b8b027a18a4e
6,-0.10842237582954238,6.865926720749783,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
7,-0.09405219306669906,5.955924324486297,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd4dc0f61571541c7a3d271955b29ecd5')","silicon production, metallurgical grade",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d4dc0f61571541c7a3d271955b29ecd5
8,-0.049667086054567246,3.1452047667720944,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5e74206e03324054b97813c64dd67a4f')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5e74206e03324054b97813c64dd67a4f
9,0.04397027721406155,-2.7844501555419825,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ccf2e3fb30484bf981b79e1aab40e519')","heat and power co-generation, hard coal",PL,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ccf2e3fb30484bf981b79e1aab40e519
10,-0.040751082033916336,2.580592252248874,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '363401dc5c924f8d8c3f60d59999e86b')",primary zinc production from concentrate,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,363401dc5c924f8d8c3f60d59999e86b
11,-0.037677991332246315,2.385986522551012,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5d82e47ac91443b1b6bfc70ebeb16c99')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5d82e47ac91443b1b6bfc70ebeb16c99
12,-0.036556371825967736,2.314959142088704,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'bc22b5e070f344619dc12c1ed453f9c5')",zinc mine operation,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,bc22b5e070f344619dc12c1ed453f9c5
13,-0.03135106464103664,1.985329234818297,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'aa565c2d60414f29bf1a4bfdc3d35f25')","silicon production, metallurgical grade",NO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,aa565c2d60414f29bf1a4bfdc3d35f25
14,0.030936429581371352,-1.95907216459885,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7754845acb6745d9a97b006f8c996d71')","heat and power co-generation, lignite",PL,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7754845acb6745d9a97b006f8c996d71
15,0.022392674617028565,-1.4180325954471458,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '73261bac87d74e73a1b667d6823a34af')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,73261bac87d74e73a1b667d6823a34af
16,-0.02197424573589224,1.3915352786917556,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
17,-0.021173173362518595,1.3408067812619666,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a74f596a4a784113b7fae8a00ae0e5ee')","heat production, natural gas, at industrial furnace >100kW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a74f596a4a784113b7fae8a00ae0e5ee
18,-0.018475020623343545,1.169944273898256,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58c16036ece14dd980226651cf0f6590')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58c16036ece14dd980226651cf0f6590
19,0.018362621089782823,-1.1628264907380008,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
20,-0.017231162102061815,1.0911760178739902,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '393569df147b440ba728e56002369188')","electricity production, natural gas, conventional power plant",AU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,393569df147b440ba728e56002369188
