rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-8.979968393563428,47.05345589367552,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58c16036ece14dd980226651cf0f6590')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58c16036ece14dd980226651cf0f6590
2,-1.0187701860610714,5.338176696699264,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5d82e47ac91443b1b6bfc70ebeb16c99')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5d82e47ac91443b1b6bfc70ebeb16c99
3,-0.8001925838241963,4.1928684822995335,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd303b5b8f263485ca094a0d431d0dca0')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d303b5b8f263485ca094a0d431d0dca0
4,-0.603945882968799,3.1645702658383836,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0fc5de24037f4c4f9eebb11bb4d37984')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0fc5de24037f4c4f9eebb11bb4d37984
5,-0.6009979751509024,3.149123747052477,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '70dfd919263f45c98ac2d89c7ec20724')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,70dfd919263f45c98ac2d89c7ec20724
6,-0.5835955864058808,3.0579382890005995,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
7,-0.41641320114972163,2.181931977387228,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
8,-0.3050427730749585,1.5983705108422268,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca4947b1752c49be8a0fdc8e0baa6bcf')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca4947b1752c49be8a0fdc8e0baa6bcf
9,-0.29793203469048957,1.5611114916250886,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca3a0fc3fe634eada642d8ac24470332')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca3a0fc3fe634eada642d8ac24470332
10,-0.2840645434961707,1.4884482753786354,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3d18e8afc6094a01a94161ae8dad1d24')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3d18e8afc6094a01a94161ae8dad1d24
11,-0.27374457120767626,1.4343734346198769,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '73261bac87d74e73a1b667d6823a34af')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,73261bac87d74e73a1b667d6823a34af
12,-0.2303043578632867,1.206754352566406,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7855a690cbb24da3a01b089010fa94b6')",pig iron production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7855a690cbb24da3a01b089010fa94b6
13,-0.20774931890136786,1.0885699131049615,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ef68ca3590ed48a3926baeccc3682ef6')","heat production, light fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ef68ca3590ed48a3926baeccc3682ef6
14,-0.1909582502123672,1.0005876646894913,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '11ba24f1db0c4ab5bb9ca61df798d234')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",US-SERC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,11ba24f1db0c4ab5bb9ca61df798d234
15,-0.18213954563964221,0.9543792028702388,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5e74206e03324054b97813c64dd67a4f')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5e74206e03324054b97813c64dd67a4f
16,-0.165192888080419,0.8655816961240363,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'e622107be5ec4b099c17b507902a8d3a')",hard coal mine operation and hard coal preparation,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,e622107be5ec4b099c17b507902a8d3a
17,-0.163510382338446,0.8567656617850373,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '68fd7ec5c59d4534911a247e06dc5220')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,68fd7ec5c59d4534911a247e06dc5220
18,-0.14433971976587365,0.7563147597019488,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
19,-0.13819309286859838,0.7241075152072882,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a955a3ab68df43dc9db95fdf8f7eb372')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a955a3ab68df43dc9db95fdf8f7eb372
20,-0.13613421894710617,0.7133193777651776,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7e1602aeeca94124b8d48627c577fcfa')","electricity production, hard coal, at coal mine power plant",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7e1602aeeca94124b8d48627c577fcfa
