rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.013018065725712503,17.03661059394117,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a955a3ab68df43dc9db95fdf8f7eb372')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a955a3ab68df43dc9db95fdf8f7eb372
2,0.009875020138940723,12.92333870938818,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
3,0.0030204473716954378,3.952828843799055,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '87448dfd7ae04ee68c0befca56235267')","treatment of sewage sludge, 97% water, WWT-SLF, waste aluminium, landfarming",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,87448dfd7ae04ee68c0befca56235267
4,0.0024608009245321626,3.2204252139900995,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5e74206e03324054b97813c64dd67a4f')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5e74206e03324054b97813c64dd67a4f
5,0.0023879672719369113,3.1251085514732666,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd303b5b8f263485ca094a0d431d0dca0')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d303b5b8f263485ca094a0d431d0dca0
6,0.0018221981802043863,2.3846922788086684,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '2ff2df0b6c194ecc81014a00158e47ba')","transport, freight, lorry >32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,2ff2df0b6c194ecc81014a00158e47ba
7,0.0016596319470057784,2.171943498069437,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '75bc761c04444ab88d40a76a9b4a0afe')","transport, freight, lorry 16-32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,75bc761c04444ab88d40a76a9b4a0afe
8,-0.0016412255227415005,-2.1478551973015274,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'e0ee62a55e3f453b976a1af9893ec4b4')",hydrogen cyanide production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,e0ee62a55e3f453b976a1af9893ec4b4
9,0.0015696061943354643,2.0541277085361838,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
10,0.0015313627571677379,2.004078910156442,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '9a8d19102aad4aa29387406a291ee084')","transport, freight, lorry >32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,9a8d19102aad4aa29387406a291ee084
11,0.0014923808746166128,1.9530637157923099,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '86fb99b056fd421bb6eb7255b1298a30')","transport, freight, lorry 16-32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,86fb99b056fd421bb6eb7255b1298a30
12,0.0014308137771589123,1.8724914797254453,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5a3a290e90ad4bbaa84821ddb884c922')","treatment of waste natural gas, sweet, burned in production flare",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5a3a290e90ad4bbaa84821ddb884c922
13,0.001335619927515606,1.7479122540953307,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7855a690cbb24da3a01b089010fa94b6')",pig iron production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7855a690cbb24da3a01b089010fa94b6
14,0.001314001418003272,1.719620329938304,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
15,0.0012363692375702718,1.618023882703958,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '071109506eed434a9b50e77ba822f3bd')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,071109506eed434a9b50e77ba822f3bd
16,0.0012087632609333984,1.5818962210422935,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '9f2cbf4349bf4178b5342105f6d07608')","treatment of sewage sludge, 70% water, WWT-SLF, waste aluminium, municipal incineration",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,9f2cbf4349bf4178b5342105f6d07608
17,0.0011089962349754823,1.45133212594762,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'f3d2ef53f25044498fdf61136996bb8d')","diesel production, petroleum refinery operation",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,f3d2ef53f25044498fdf61136996bb8d
18,0.0010810434860126438,1.4147506468597189,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '89b19f9d006f4357bbea255e4f39215f')","pitch production, petroleum refinery operation",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,89b19f9d006f4357bbea255e4f39215f
19,0.0010674741381077697,1.3969925788686772,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a5fb7582c4b74729bb2b14875f41202b')","transport, freight, lorry >32 metric ton, EURO5",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a5fb7582c4b74729bb2b14875f41202b
20,0.0008976870156244559,1.1747938935524151,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '28bc6917740e4935b5ac5b1f18f93ae7')","unsaturated hydrocarbons production, steam cracking operation, average",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,28bc6917740e4935b5ac5b1f18f93ae7
