rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-9.413188421615262,50.956180551067256,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58c16036ece14dd980226651cf0f6590')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58c16036ece14dd980226651cf0f6590
2,-1.0325069797666697,5.589244549744121,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5d82e47ac91443b1b6bfc70ebeb16c99')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5d82e47ac91443b1b6bfc70ebeb16c99
3,-0.8340152770270084,4.514754314377583,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd303b5b8f263485ca094a0d431d0dca0')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d303b5b8f263485ca094a0d431d0dca0
4,-0.6340425775058274,3.432247035686875,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0fc5de24037f4c4f9eebb11bb4d37984')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0fc5de24037f4c4f9eebb11bb4d37984
5,-0.6299350640542111,3.4100119344988564,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '70dfd919263f45c98ac2d89c7ec20724')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,70dfd919263f45c98ac2d89c7ec20724
6,-0.5049542648981629,2.7334564591417134,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
7,-0.45619461025370456,2.469507024116556,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
8,-0.31149947958508006,1.6862324445617676,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca4947b1752c49be8a0fdc8e0baa6bcf')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca4947b1752c49be8a0fdc8e0baa6bcf
9,-0.31052508292453807,1.6809577671688323,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca3a0fc3fe634eada642d8ac24470332')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca3a0fc3fe634eada642d8ac24470332
10,-0.31001934638054485,1.678220076017573,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '73261bac87d74e73a1b667d6823a34af')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,73261bac87d74e73a1b667d6823a34af
11,-0.2960714379596899,1.6027162076183383,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3d18e8afc6094a01a94161ae8dad1d24')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3d18e8afc6094a01a94161ae8dad1d24
12,0.2579629858301127,-1.3964246642792724,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0aecf4dda4f54a168146ade8c87019de')","treatment of waste polyethylene, municipal incineration",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0aecf4dda4f54a168146ade8c87019de
13,-0.230168731422207,1.245966712897002,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7855a690cbb24da3a01b089010fa94b6')",pig iron production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7855a690cbb24da3a01b089010fa94b6
14,-0.20169547637867888,1.0918331441326747,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ef68ca3590ed48a3926baeccc3682ef6')","heat production, light fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ef68ca3590ed48a3926baeccc3682ef6
15,-0.19902971006095999,1.0774026171200934,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '11ba24f1db0c4ab5bb9ca61df798d234')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",US-SERC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,11ba24f1db0c4ab5bb9ca61df798d234
