rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-2.9449999738513437e-26,99.99999999996521,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '27dffb4a42134c5cb8993ba1e11906c3')",airport construction,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,27dffb4a42134c5cb8993ba1e11906c3
2,-2.154671558229455e-39,7.316372079321003e-12,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'eb50b522730d4a95ae0a7850d7410416')",bus production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,eb50b522730d4a95ae0a7850d7410416
3,-2.1546499567215775e-39,7.316298729548272e-12,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0b7638b6f307425b96e78421a2c50bd0')","lorry production, 28 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0b7638b6f307425b96e78421a2c50bd0
4,-2.1546499567215775e-39,7.316298729548272e-12,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fd42ae747ed5415baa61fd7fbef4aeba')","lorry production, 16 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fd42ae747ed5415baa61fd7fbef4aeba
5,-2.1546499567215775e-39,7.316298729548272e-12,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd768adf5f3ea4e7e8dcd9fba8bb3d0b7')","lorry production, 40 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d768adf5f3ea4e7e8dcd9fba8bb3d0b7
6,-7.562971297759788e-40,2.5680717707669894e-12,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '632e0145ae174637a287b1ec2fc94245')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,632e0145ae174637a287b1ec2fc94245
7,-4.197125242712507e-40,1.425169874355628e-12,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '29c74f6400bd436d825d71e53d5bee76')",plywood production,CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,29c74f6400bd436d825d71e53d5bee76
8,-2.91147517728768e-40,9.886163677886782e-13,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'f8fe0674b4a846df9ae8cb02d91bd48f')",gold-silver mine operation with refinery,CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,f8fe0674b4a846df9ae8cb02d91bd48f
9,-4.750926801259446e-41,1.613217943443557e-13,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '9cc9e233d093466ba1623456b9a7716a')","fibreboard production, soft, from wet & dry processes",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,9cc9e233d093466ba1623456b9a7716a
10,-4.240931399946194e-41,1.44004463076399e-13,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8d4804098eee4fcba9b45f6e6260c3c0')",gold production,CA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8d4804098eee4fcba9b45f6e6260c3c0
11,-3.417260600842637e-41,1.1603601464119887e-13,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '1432c5c0b42f49ad9b4dfa464e7aac81')","heat pump production, brine-water, 10kW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,1432c5c0b42f49ad9b4dfa464e7aac81
12,-2.482250355129197e-41,8.428693980197744e-14,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'edfaa16aa9144741a1aecffb98b40f34')",gold-silver mine operation and beneficiation,CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,edfaa16aa9144741a1aecffb98b40f34
13,-9.995182879928827e-43,3.393950074252151e-15,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '420faffa77494f21a5d36c9887eaa96c')","wafer production, fabricated, for integrated circuit",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,420faffa77494f21a5d36c9887eaa96c
14,-8.002564669838932e-43,2.7173394705911457e-15,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '324def8b8a55422ca8c1a20ad96eb5bd')","fibreboard production, hard",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,324def8b8a55422ca8c1a20ad96eb5bd
15,-4.1203878961357435e-43,1.3991130501593333e-15,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'e8c43c39a9a64d598e92899377c509b7')","ammonia production, steam reforming, liquid",RNA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,e8c43c39a9a64d598e92899377c509b7
16,-4.065587012398671e-43,1.3805049400664197e-15,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ee8b87afc6844b0695ae145c1f7c20bf')","softwood forestry, paraná pine, sustainable forest management",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ee8b87afc6844b0695ae145c1f7c20bf
17,-2.905893116637896e-43,9.86720931218442e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8a9c41724b6743cc854cbf77d0a796ed')","nitric acid production, product in 50% solution state",RNA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8a9c41724b6743cc854cbf77d0a796ed
18,-1.949434892405521e-43,6.619473377636252e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8f6cf48be39e40b48461d716c79a6edc')","ethanol production, via fermentation, from forest residues, energy allocation",CAN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8f6cf48be39e40b48461d716c79a6edc
19,-1.4484138970562343e-43,4.918213616014255e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd8be2f50f2b040d7b64de0a7cc6b9e74')","medium density fibreboard production, uncoated",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d8be2f50f2b040d7b64de0a7cc6b9e74
20,-9.192841323121552e-44,3.121508117059965e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '1c57f5959bd34ced943f17069e5e6b9d')",gold production,US,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,1c57f5959bd34ced943f17069e5e6b9d
