rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-10.33783155502261,25.91346277725062,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c80c8232fbf94c92821ab98bb3342f0b')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,c80c8232fbf94c92821ab98bb3342f0b
2,-8.511869486811626,21.336390706051308,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1f7df18c59de44c88cacd2d493cc286b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1f7df18c59de44c88cacd2d493cc286b
3,-5.844691899195417,14.650674579884598,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'eadef980a47144eda30049cd4fe76fef')","electricity production, hard coal",TZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,eadef980a47144eda30049cd4fe76fef
4,-2.36171618412984,5.920027241897261,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
5,-0.9517539529295301,2.385726687562242,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
6,-0.9191348828951166,2.3039616624052366,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5593ca8cced94c4b9eb218f044c7ad11')",hard coal mine operation and hard coal preparation,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5593ca8cced94c4b9eb218f044c7ad11
7,-0.7879427099704185,1.9751070596138918,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
8,-0.5776158489993212,1.4478884399428757,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '22b30b6d1fcb4203b29dfeb55c6874b2')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,22b30b6d1fcb4203b29dfeb55c6874b2
9,-0.5695957000142444,1.4277846269636618,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '508fd69962dd42f1b53ae224e7ede40d')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,508fd69962dd42f1b53ae224e7ede40d
10,-0.5633191918166174,1.4120515343238138,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7e00b53d892c4fd09b8287a1419d9f29')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7e00b53d892c4fd09b8287a1419d9f29
11,-0.47005944722170073,1.178280756834009,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7be3a15a30a7413aa4527e049506a6fd')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7be3a15a30a7413aa4527e049506a6fd
12,-0.42128301839924703,1.0560146736645872,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
13,-0.338942749958582,0.8496153461122502,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0b4558693b7e42e395a9bd67758c83ec')","treatment of waste natural gas, sweet, burned in production flare",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,0b4558693b7e42e395a9bd67758c83ec
14,-0.29337109534196937,0.735382552772571,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cec63c5dde804d6c9262f930351e7558')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,cec63c5dde804d6c9262f930351e7558
15,-0.27971589681473186,0.7011535680122595,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cafdaebf5a0b4f3dab63fb5b42fd2834')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,cafdaebf5a0b4f3dab63fb5b42fd2834
16,-0.27132576989729446,0.6801223449347475,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'a32377648cae48deb4f365d2e59531bf')","treatment of waste polyethylene, municipal incineration",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,a32377648cae48deb4f365d2e59531bf
17,-0.2703273798449122,0.6776197172490589,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e8343e1692644195b006bb72f1a32c46')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,e8343e1692644195b006bb72f1a32c46
