rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-10.876205385713963,24.88467310551805,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c80c8232fbf94c92821ab98bb3342f0b')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,c80c8232fbf94c92821ab98bb3342f0b
2,-8.959019953293591,20.49816778711831,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1f7df18c59de44c88cacd2d493cc286b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1f7df18c59de44c88cacd2d493cc286b
3,-6.147669533819716,14.06581995139601,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'eadef980a47144eda30049cd4fe76fef')","electricity production, hard coal",TZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,eadef980a47144eda30049cd4fe76fef
4,-2.603790248753282,5.957451783750732,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
5,-1.2254346278030068,2.8037848719843947,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
6,-0.978738212258352,2.2393453970554478,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
7,-0.965085832385647,2.208108858373412,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5593ca8cced94c4b9eb218f044c7ad11')",hard coal mine operation and hard coal preparation,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5593ca8cced94c4b9eb218f044c7ad11
8,-0.6367653560791162,1.4569141689583336,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '22b30b6d1fcb4203b29dfeb55c6874b2')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,22b30b6d1fcb4203b29dfeb55c6874b2
9,-0.5996129322334529,1.3719097129289024,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '508fd69962dd42f1b53ae224e7ede40d')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,508fd69962dd42f1b53ae224e7ede40d
10,-0.594598224168621,1.360436099983264,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7e00b53d892c4fd09b8287a1419d9f29')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7e00b53d892c4fd09b8287a1419d9f29
11,-0.5251305547505852,1.2014946140914422,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
12,-0.4883309212511907,1.117297339623074,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7be3a15a30a7413aa4527e049506a6fd')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7be3a15a30a7413aa4527e049506a6fd
13,-0.45626045457295183,1.0439203619615773,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cec63c5dde804d6c9262f930351e7558')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,cec63c5dde804d6c9262f930351e7558
14,-0.4350234370676694,0.9953302315242394,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cafdaebf5a0b4f3dab63fb5b42fd2834')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,cafdaebf5a0b4f3dab63fb5b42fd2834
15,-0.37876285465539306,0.8666064577074534,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0b4558693b7e42e395a9bd67758c83ec')","treatment of waste natural gas, sweet, burned in production flare",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,0b4558693b7e42e395a9bd67758c83ec
16,-0.29243816676801065,0.6690962450155319,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '96c518d90d7442358f85c7625abf5540')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",US-SERC,prospective_conseq_IMAGE_SSP2M_2050_PERF,96c518d90d7442358f85c7625abf5540
17,-0.28197284246560184,0.6451516646244012,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '16ff79433d704b09ae1e5c45a85caa93')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,16ff79433d704b09ae1e5c45a85caa93
18,0.24824879933304297,-0.5679913169306703,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '3df1a95a9fee42dba53f37cbda8e14c2')","electricity production, natural gas, combined cycle power plant",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,3df1a95a9fee42dba53f37cbda8e14c2
19,-0.21878976819106308,0.5005892834111163,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b9cde892908e4dcfad3120e7b600505b')","electricity production, hydro, reservoir, non-alpine region",TZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,b9cde892908e4dcfad3120e7b600505b
20,-0.21796536977710054,0.4987030662689583,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5f9a490c464f4285a59b4a7822d832c4')",pig iron production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5f9a490c464f4285a59b4a7822d832c4
