rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.014208125040115207,17.72229615085104,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '2365eed887024ecca43f09d76239ff16')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,2365eed887024ecca43f09d76239ff16
2,0.00997388472635775,12.440778666847143,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
3,0.003020447372193332,3.767510680468786,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7604e60736fd4a8cb5abb7dcd7ec7b7c')","treatment of sewage sludge, 97% water, WWT-SLF, waste aluminium, landfarming",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,7604e60736fd4a8cb5abb7dcd7ec7b7c
4,0.002507106917380395,3.1272030015370924,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '22b30b6d1fcb4203b29dfeb55c6874b2')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,22b30b6d1fcb4203b29dfeb55c6874b2
5,0.0023827897037395304,2.972137750452129,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
6,0.0019882525089898267,2.4800175735717356,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '8d183d6a0cee4afa95889d4168104024')","transport, freight, lorry >32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,8d183d6a0cee4afa95889d4168104024
7,0.0018137448938346725,2.262348062103718,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '06ab8552dcc44cc086569609c3b4e0c0')","transport, freight, lorry 16-32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,06ab8552dcc44cc086569609c3b4e0c0
8,0.001667522224879644,2.079959362970489,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd6f96039c1d943d38aea2b987df0c40d')","transport, freight, lorry >32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d6f96039c1d943d38aea2b987df0c40d
9,-0.0016403956264899764,-2.0461233987690517,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'a240270a141e479dab504ad86aa44a4b')",hydrogen cyanide production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,a240270a141e479dab504ad86aa44a4b
10,0.0016297595932470777,2.0328566988724255,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '572d1f71b76543cc86e1216471444cad')","transport, freight, lorry 16-32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,572d1f71b76543cc86e1216471444cad
