rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-8.930736691433424,33.56375241652104,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1f7df18c59de44c88cacd2d493cc286b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1f7df18c59de44c88cacd2d493cc286b
2,-6.590793436199951,24.7697101330105,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6df36fd4328341e98f463829c94c38d1')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP2M_2050_PERF,6df36fd4328341e98f463829c94c38d1
3,-1.6257150954315585,6.109809397382173,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
4,-1.238084338507443,4.653004297875713,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'defa70cfe0b64f68958944856155064f')","electricity production, natural gas, conventional power plant",CA-BC,prospective_conseq_IMAGE_SSP2M_2050_PERF,defa70cfe0b64f68958944856155064f
5,-0.6802624190994102,2.5565818590102913,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '508fd69962dd42f1b53ae224e7ede40d')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,508fd69962dd42f1b53ae224e7ede40d
6,-0.6575656820885802,2.4712823268423443,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
7,-0.5892173142574956,2.214413518006414,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7e00b53d892c4fd09b8287a1419d9f29')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7e00b53d892c4fd09b8287a1419d9f29
8,-0.4049282196827371,1.5218129233314825,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5ced563ced2d4cb085567847935281af')","electricity production, hydro, reservoir, non-alpine region",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,5ced563ced2d4cb085567847935281af
9,-0.37885825513174787,1.4238360300550061,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '9293639778c74c56b69dbc9f7a452817')","coke production, wet quenching",CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,9293639778c74c56b69dbc9f7a452817
10,-0.31663970871778324,1.190004493004175,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
11,-0.2994281878797873,1.125319658585933,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7be3a15a30a7413aa4527e049506a6fd')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7be3a15a30a7413aa4527e049506a6fd
12,-0.2900549508359778,1.0900928885724854,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '16ff79433d704b09ae1e5c45a85caa93')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,16ff79433d704b09ae1e5c45a85caa93
