rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-10.87667667130812,20.617604456043686,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c80c8232fbf94c92821ab98bb3342f0b')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,c80c8232fbf94c92821ab98bb3342f0b
2,-8.974699078072549,17.01225487301956,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1f7df18c59de44c88cacd2d493cc286b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1f7df18c59de44c88cacd2d493cc286b
3,-6.590138349378985,12.492130629985835,"('mtcw_foreground_prospective', 'AL_primary_liquid_INERT_CA__SSP2M_2050')","Primary aluminium, liquid (INERT anode heuristic) [CA; SSP2M_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_INERT_CA__SSP2M_2050
4,-6.147345952514819,11.652782475160992,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'eadef980a47144eda30049cd4fe76fef')","electricity production, hard coal",TZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,eadef980a47144eda30049cd4fe76fef
5,-2.7466316049056383,5.2064583445599695,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
6,-1.7040720760704797,3.2302039575830146,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
7,-1.3619168396073449,2.5816215329008454,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
8,-0.9803382690956579,1.858309047528752,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5593ca8cced94c4b9eb218f044c7ad11')",hard coal mine operation and hard coal preparation,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5593ca8cced94c4b9eb218f044c7ad11
9,-0.6837246979746444,1.2960544664212914,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '508fd69962dd42f1b53ae224e7ede40d')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,508fd69962dd42f1b53ae224e7ede40d
10,-0.6766879873664896,1.2827158226080306,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '22b30b6d1fcb4203b29dfeb55c6874b2')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,22b30b6d1fcb4203b29dfeb55c6874b2
11,-0.5945556631321307,1.1270274790732324,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7e00b53d892c4fd09b8287a1419d9f29')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7e00b53d892c4fd09b8287a1419d9f29
12,-0.5070762505249653,0.9612033048620614,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cec63c5dde804d6c9262f930351e7558')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,cec63c5dde804d6c9262f930351e7558
13,-0.5009305141374076,0.9495535734451083,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7be3a15a30a7413aa4527e049506a6fd')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7be3a15a30a7413aa4527e049506a6fd
14,-0.48347397007094045,0.9164633077685218,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cafdaebf5a0b4f3dab63fb5b42fd2834')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,cafdaebf5a0b4f3dab63fb5b42fd2834
15,-0.4076146479921251,0.7726659380213403,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '9293639778c74c56b69dbc9f7a452817')","coke production, wet quenching",CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,9293639778c74c56b69dbc9f7a452817
16,-0.3967213342488192,0.7520167966740087,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0b4558693b7e42e395a9bd67758c83ec')","treatment of waste natural gas, sweet, burned in production flare",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,0b4558693b7e42e395a9bd67758c83ec
17,-0.39057736857706166,0.740370421789485,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
18,-0.32500833159847603,0.616079104704154,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '96c518d90d7442358f85c7625abf5540')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",US-SERC,prospective_conseq_IMAGE_SSP2M_2050_PERF,96c518d90d7442358f85c7625abf5540
19,-0.28422120530098693,0.5387638674940007,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '16ff79433d704b09ae1e5c45a85caa93')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,16ff79433d704b09ae1e5c45a85caa93
20,0.27164703744748264,-0.5149285336873672,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '3df1a95a9fee42dba53f37cbda8e14c2')","electricity production, natural gas, combined cycle power plant",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,3df1a95a9fee42dba53f37cbda8e14c2
