rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-10.876768906207896,20.614878154881364,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c80c8232fbf94c92821ab98bb3342f0b')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,c80c8232fbf94c92821ab98bb3342f0b
2,-8.974718144845774,17.00989720621929,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1f7df18c59de44c88cacd2d493cc286b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1f7df18c59de44c88cacd2d493cc286b
3,-6.590138349378985,12.490372855004745,"('mtcw_foreground_prospective', 'AL_primary_liquid_INERT_CA__SSP2M_2050')","Primary aluminium, liquid (INERT anode heuristic) [CA; SSP2M_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_INERT_CA__SSP2M_2050
4,-6.147404302329482,11.651253396492223,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'eadef980a47144eda30049cd4fe76fef')","electricity production, hard coal",TZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,eadef980a47144eda30049cd4fe76fef
5,-2.7470183232259715,5.206458692912815,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
6,-1.7042606283832373,3.2301067992931074,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
7,-1.3622274951188011,2.581847060764111,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
8,-0.9803533499924838,1.858076146794851,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5593ca8cced94c4b9eb218f044c7ad11')",hard coal mine operation and hard coal preparation,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5593ca8cced94c4b9eb218f044c7ad11
9,-0.6837290206735269,1.2958802907080638,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '508fd69962dd42f1b53ae224e7ede40d')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,508fd69962dd42f1b53ae224e7ede40d
10,-0.6768122008240247,1.282770754259664,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '22b30b6d1fcb4203b29dfeb55c6874b2')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,22b30b6d1fcb4203b29dfeb55c6874b2
