scenario,route,case,bg_db,method,score,solver,tech_shape,n_activities,n_products,error
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.006413487823338335,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",2.8317860847952465e-05,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",0.00957519299069209,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",0.0007374003950168606,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",0.0009907136714291357,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",0.0639793808518331,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",0.001689818370272038,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",2.662361707538495e-05,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",5.75890260169615e-05,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",0.004703052185582629,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",0.04537721728295057,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-6.501539296381845e-05,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",0.0006028343643320943,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",1.275973936059582e-05,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",1.3888005890775873e-08,standard,"(107090, 107090)",107090,107090,
