rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-0.2675209584107215,12.117778328920283,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7636dc3e054548708bd1bd3c2250ce42')","treatment of waste polyethylene, municipal incineration",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,7636dc3e054548708bd1bd3c2250ce42
2,-0.18898502504711628,8.560370950415312,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '826032ba9fb3489aa002a62939f236c2')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,826032ba9fb3489aa002a62939f236c2
3,-0.18898502451534385,8.560370926327849,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a2344e0b3b804e8aa02f5754247751b2')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,a2344e0b3b804e8aa02f5754247751b2
4,-0.18828453255580796,8.528641052387227,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e5f67a5e9c954dfa88076ac2728e6f3f')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,e5f67a5e9c954dfa88076ac2728e6f3f
5,-0.18120921415663857,8.20815348955473,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd2cd563823bf46e785ff9588c5ec9d35')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,d2cd563823bf46e785ff9588c5ec9d35
6,-0.12452145032135609,5.640392966420305,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
7,-0.12281768884869737,5.56321843783875,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'adac50a5424b463b8440ccddeeacf8a5')","electricity production, lignite",DE,prospective_conseq_IMAGE_SSP5H_2050_PERF,adac50a5424b463b8440ccddeeacf8a5
8,-0.09405167267976111,4.2602169481157075,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1040277fd676454e8c43d1c8627ef2ec')","silicon production, metallurgical grade",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,1040277fd676454e8c43d1c8627ef2ec
9,-0.07416545772658052,3.359439879898369,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2a06cf45c2294bd7ade3a7335bb5407e')","electricity production, hard coal",GB,prospective_conseq_IMAGE_SSP5H_2050_PERF,2a06cf45c2294bd7ade3a7335bb5407e
10,-0.06391514237406574,2.895135886741307,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '97b9343d216044b696410f492bb2b1f5')","electricity production, hard coal",DE,prospective_conseq_IMAGE_SSP5H_2050_PERF,97b9343d216044b696410f492bb2b1f5
11,-0.0572152536968555,2.591653997691589,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'eee326cac2824d19beaf4b42a0e7fee6')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,eee326cac2824d19beaf4b42a0e7fee6
12,-0.05439179256605683,2.4637609297742245,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
13,0.04377910775148355,-1.9830428476408004,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'de287f1640b042238b6c17505a8f8907')","heat and power co-generation, hard coal",PL,prospective_conseq_IMAGE_SSP5H_2050_PERF,de287f1640b042238b6c17505a8f8907
14,-0.041616696503337686,1.8850930633821583,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '63e47e4526ce469e8aef6b3605d21d7c')",primary zinc production from concentrate,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,63e47e4526ce469e8aef6b3605d21d7c
15,-0.03960520361917102,1.7939793613928365,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '0d50e5feb3954f80b17d205bea7d4e45')",zinc mine operation,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,0d50e5feb3954f80b17d205bea7d4e45
16,-0.037530034560875856,1.6999813479555193,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8832f4cc0889437487717de844346b41')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,8832f4cc0889437487717de844346b41
17,-0.031350887670803865,1.4200872689250044,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '321aa79be7f346109b16bcb466759e7d')","silicon production, metallurgical grade",NO,prospective_conseq_IMAGE_SSP5H_2050_PERF,321aa79be7f346109b16bcb466759e7d
18,-0.030976260258873383,1.4031179370241331,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '272c46bae9344c5993370bdc40b6782e')","electricity production, hard coal",ES,prospective_conseq_IMAGE_SSP5H_2050_PERF,272c46bae9344c5993370bdc40b6782e
19,0.030801927345045634,-1.3952212562640558,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a7b0e352cc1540119081c0bff67efc65')","heat and power co-generation, lignite",PL,prospective_conseq_IMAGE_SSP5H_2050_PERF,a7b0e352cc1540119081c0bff67efc65
20,-0.027878855787804635,1.2628161789921786,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd2370122a3e041cabb303035eed5aa7b')","electricity production, hard coal",IT,prospective_conseq_IMAGE_SSP5H_2050_PERF,d2370122a3e041cabb303035eed5aa7b
