rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-7.964784425795949,26.701041083033,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58c16036ece14dd980226651cf0f6590')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58c16036ece14dd980226651cf0f6590
2,-4.413504532642741,14.795775949010636,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '4a2b944bf24047ecaa066e1da275c42b')","aluminium production, primary, liquid, prebake",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,4a2b944bf24047ecaa066e1da275c42b
3,-1.6140344530841262,5.410868384792873,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5d82e47ac91443b1b6bfc70ebeb16c99')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5d82e47ac91443b1b6bfc70ebeb16c99
4,-0.7260640269595698,2.4340477251300467,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '70dfd919263f45c98ac2d89c7ec20724')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,70dfd919263f45c98ac2d89c7ec20724
5,-0.6989570630957862,2.3431746873841632,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
6,-0.5634025217156424,1.8887433826698226,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0fc5de24037f4c4f9eebb11bb4d37984')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0fc5de24037f4c4f9eebb11bb4d37984
7,-0.5098489125423127,1.7092109506242594,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '13a1cf2a8dda4205a3a76543667be33a')","aluminium production, primary, liquid, prebake","IAI Area, Gulf Cooperation Council",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,13a1cf2a8dda4205a3a76543667be33a
8,-0.4792640145506844,1.6066785311465999,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '071109506eed434a9b50e77ba822f3bd')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,071109506eed434a9b50e77ba822f3bd
9,-0.46211069737829835,1.5491739708164056,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd303b5b8f263485ca094a0d431d0dca0')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d303b5b8f263485ca094a0d431d0dca0
10,-0.411900221164466,1.3808490147959906,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ada4d607a8e647e0894fe968491f8f9c')","coke production, wet quenching",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ada4d607a8e647e0894fe968491f8f9c
11,-0.4060072790181153,1.3610935911789952,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3e62c61b442c4edbb127dfcce92cf164')","aluminium production, primary, liquid, prebake","IAI Area, EU27 & EFTA",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3e62c61b442c4edbb127dfcce92cf164
12,-0.39683370480986224,1.330340218743766,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '77106392806d4adf8389f38711764f03')","aluminium production, primary, liquid, Söderberg","IAI Area, Russia & RER w/o EU27 & EFTA",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,77106392806d4adf8389f38711764f03
13,-0.3885358228467597,1.3025225057518894,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '60e7e32d819e47ffba934616151db979')","aluminium production, primary, liquid, prebake","IAI Area, Asia, without China and GCC",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,60e7e32d819e47ffba934616151db979
14,-0.36891559973021987,1.2367479215966315,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '81ca08f9503642f2b3ec6ea7b41f647e')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,81ca08f9503642f2b3ec6ea7b41f647e
15,-0.29315918920049866,0.9827831032512742,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca4947b1752c49be8a0fdc8e0baa6bcf')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca4947b1752c49be8a0fdc8e0baa6bcf
16,-0.27317703168973034,0.9157951748781414,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '73261bac87d74e73a1b667d6823a34af')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,73261bac87d74e73a1b667d6823a34af
17,-0.2675209584107215,0.8968338274118705,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7636dc3e054548708bd1bd3c2250ce42')","treatment of waste polyethylene, municipal incineration",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,7636dc3e054548708bd1bd3c2250ce42
18,-0.26387776687584874,0.8846204388698103,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b0d856f2a9cb41f2a2d06da5740b9ab4')","aluminium production, primary, liquid, prebake",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b0d856f2a9cb41f2a2d06da5740b9ab4
19,-0.2281464862329157,0.7648353522444439,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5fe4a11e0cd84168aebebc0b752e67d8')",coke production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5fe4a11e0cd84168aebebc0b752e67d8
20,-0.2156770217961164,0.7230328797089585,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7e1602aeeca94124b8d48627c577fcfa')","electricity production, hard coal, at coal mine power plant",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7e1602aeeca94124b8d48627c577fcfa
