rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-14.284694878977806,35.73666905138215,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'eee326cac2824d19beaf4b42a0e7fee6')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,eee326cac2824d19beaf4b42a0e7fee6
2,-8.959942591578562,22.415494753468572,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75d7a42bf3664f8496cbc4757c6e381b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75d7a42bf3664f8496cbc4757c6e381b
3,-3.034179733086883,7.590745051426412,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
4,-1.2150088115162627,3.0396426496704385,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8e3a5f2e2a4a4e80b8ac799b044ecddc')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8e3a5f2e2a4a4e80b8ac799b044ecddc
5,-0.9877021919670237,2.470979370206616,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8832f4cc0889437487717de844346b41')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,8832f4cc0889437487717de844346b41
6,-0.710613689226089,1.777774495738596,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
7,-0.5996032206891925,1.5000545717953673,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd9d227caff0048f88a7fcc9f6d791542')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,d9d227caff0048f88a7fcc9f6d791542
8,-0.5958510038280437,1.4906674806945817,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '13ee174ce9254597ae31bb3830d9f393')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,13ee174ce9254597ae31bb3830d9f393
9,-0.4918945998518204,1.230595029995101,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
10,-0.4568744917358981,1.1429836372082576,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bdb4d6a4dca2465b98a088a6d34efd68')","treatment of waste natural gas, sweet, burned in production flare",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,bdb4d6a4dca2465b98a088a6d34efd68
11,-0.45237865821241297,1.131736206577076,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '964a0a8e043e4b9b8b25bf00390dd2cb')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,964a0a8e043e4b9b8b25bf00390dd2cb
12,-0.4313223221061746,1.079058615544263,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'cb8c84ed080747ff9e2b20d550d57032')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,cb8c84ed080747ff9e2b20d550d57032
13,-0.30627088187988777,0.7662117559069432,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '9a2f855639b3402a89e2805dc22c9e70')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,9a2f855639b3402a89e2805dc22c9e70
14,-0.2899501461647234,0.7253814311524226,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '839ceb1910ca46648a650780efa6005a')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",US-SERC,prospective_conseq_IMAGE_SSP5H_2050_PERF,839ceb1910ca46648a650780efa6005a
15,-0.2782578170411726,0.6961302010863819,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '793f1061efd94b76b167e55d61c2ac96')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,793f1061efd94b76b167e55d61c2ac96
16,-0.2239791609235847,0.5603388253053948,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bead95c026f6447292e9a9b2ca27e337')",pig iron production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,bead95c026f6447292e9a9b2ca27e337
17,0.2230586350803822,-0.5580359040536301,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '0d6a4a7f6c91434b9f6cb2cd123f38da')","electricity production, natural gas, combined cycle power plant",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,0d6a4a7f6c91434b9f6cb2cd123f38da
18,-0.21272181703991805,0.5321758175424327,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '050754a2c3f444d4b3768b73c5c34989')","transport, pipeline, onshore, long distance, natural gas",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,050754a2c3f444d4b3768b73c5c34989
19,-0.20224247442880092,0.5059591708487277,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '68edc8bb86e44892a9ab27ef514915f8')","heat production, light fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,68edc8bb86e44892a9ab27ef514915f8
20,-0.19882491156807686,0.49740929883880974,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4bb49afc49e04f89be3a3fcdab894998')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,4bb49afc49e04f89be3a3fcdab894998
