rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.014498491524304925,18.897131243819125,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4bb49afc49e04f89be3a3fcdab894998')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,4bb49afc49e04f89be3a3fcdab894998
2,0.00980163188992956,12.775310032571241,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
3,0.003020447359755457,3.936808879507361,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '5aabc0e74d3e4d9ab3d0cd71fbcfbfe7')","treatment of sewage sludge, 97% water, WWT-SLF, waste aluminium, landfarming",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,5aabc0e74d3e4d9ab3d0cd71fbcfbfe7
4,0.002441280406592344,3.181930766314762,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
5,0.0023654485854013663,3.0830926302851287,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8e3a5f2e2a4a4e80b8ac799b044ecddc')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8e3a5f2e2a4a4e80b8ac799b044ecddc
6,0.002028733438820357,2.644222813652382,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '64b17ff67b1c4cb89b36fd734ea04f95')","transport, freight, lorry >32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,64b17ff67b1c4cb89b36fd734ea04f95
7,0.001851323839736491,2.4129896214143454,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8b5d0b054edc4067ae37acf47372ec89')","transport, freight, lorry 16-32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8b5d0b054edc4067ae37acf47372ec89
8,0.001695986930765311,2.210525665014695,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '571bfe6582b74697b11feb2548194c60')","transport, freight, lorry >32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,571bfe6582b74697b11feb2548194c60
9,0.0016619134698236816,2.1661147921824617,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'afe9960979af4b06b7126dc50e18834a')","transport, freight, lorry 16-32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,afe9960979af4b06b7126dc50e18834a
10,-0.0016394858436272273,-2.136882937612541,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '633430a5900c43c39168b05fbca2d87b')",hydrogen cyanide production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,633430a5900c43c39168b05fbca2d87b
11,0.0015886762172225297,2.0706583805950465,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75b5a674173249d5b02d4df253cd5f77')",clinker production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75b5a674173249d5b02d4df253cd5f77
