rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.014498686604117891,18.7517474201049,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4bb49afc49e04f89be3a3fcdab894998')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,4bb49afc49e04f89be3a3fcdab894998
2,0.00979013529236578,12.661984442022304,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
3,0.0030204473586283543,3.9064687382535377,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '5aabc0e74d3e4d9ab3d0cd71fbcfbfe7')","treatment of sewage sludge, 97% water, WWT-SLF, waste aluminium, landfarming",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,5aabc0e74d3e4d9ab3d0cd71fbcfbfe7
4,0.002438213297996538,3.1534414922374077,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
5,0.002364764150109565,3.0584466898111473,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8e3a5f2e2a4a4e80b8ac799b044ecddc')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8e3a5f2e2a4a4e80b8ac799b044ecddc
6,0.0020268411600525083,2.621396994896242,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '64b17ff67b1c4cb89b36fd734ea04f95')","transport, freight, lorry >32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,64b17ff67b1c4cb89b36fd734ea04f95
7,0.001849597769741695,2.392160831804927,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8b5d0b054edc4067ae37acf47372ec89')","transport, freight, lorry 16-32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8b5d0b054edc4067ae37acf47372ec89
8,0.001694244621940155,2.1912362192496544,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '571bfe6582b74697b11feb2548194c60')","transport, freight, lorry >32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,571bfe6582b74697b11feb2548194c60
9,0.0016603167338767016,2.147355886855769,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'afe9960979af4b06b7126dc50e18834a')","transport, freight, lorry 16-32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,afe9960979af4b06b7126dc50e18834a
10,-0.0016394597410047714,-2.1203806805521657,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '633430a5900c43c39168b05fbca2d87b')",hydrogen cyanide production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,633430a5900c43c39168b05fbca2d87b
11,0.0015894130684485223,2.0556532615371954,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75b5a674173249d5b02d4df253cd5f77')",clinker production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75b5a674173249d5b02d4df253cd5f77
12,0.001407134476311175,1.8199048649285627,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bdb4d6a4dca2465b98a088a6d34efd68')","treatment of waste natural gas, sweet, burned in production flare",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,bdb4d6a4dca2465b98a088a6d34efd68
13,0.0013493479686735,1.7451671990213704,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bead95c026f6447292e9a9b2ca27e337')",pig iron production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,bead95c026f6447292e9a9b2ca27e337
14,0.0012914247028357083,1.6702526581118946,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
15,0.0012221034611322064,1.5805966464492303,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'b39a69aab0a146e5bca1121cf4e730ed')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP5H_2050_PERF,b39a69aab0a146e5bca1121cf4e730ed
16,0.0012087632557040372,1.563343210358661,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'cab1a4c0157c4f43871f1e2c0b0d777b')","treatment of sewage sludge, 70% water, WWT-SLF, waste aluminium, municipal incineration",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,cab1a4c0157c4f43871f1e2c0b0d777b
17,0.0011853460007601468,1.533056711866079,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '58ea8d3f9f9442d5ba408d1460b539a3')","transport, freight, lorry >32 metric ton, EURO5",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,58ea8d3f9f9442d5ba408d1460b539a3
18,0.0011157396700597524,1.443031982883843,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '5c3ae0e0e1634ec8b421833b132f44ef')","diesel production, petroleum refinery operation",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,5c3ae0e0e1634ec8b421833b132f44ef
19,0.001081116770357375,1.3982527633656963,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4cd22da9f4e0471884151152308f8c72')","pitch production, petroleum refinery operation",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,4cd22da9f4e0471884151152308f8c72
20,0.0009802390500562935,1.2677834606590215,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '5598ec289b62448ba40a74901285bad3')","liquid manure spreading, by vacuum tanker",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,5598ec289b62448ba40a74901285bad3
