rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-8.933072681613325,35.04922054048743,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75d7a42bf3664f8496cbc4757c6e381b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75d7a42bf3664f8496cbc4757c6e381b
2,-6.590884472087771,25.859563853605465,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '91355fd959a9492aa52bf929fec5ea46')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP5H_2050_PERF,91355fd959a9492aa52bf929fec5ea46
3,-1.629335149247847,6.392752977135994,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8832f4cc0889437487717de844346b41')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,8832f4cc0889437487717de844346b41
4,-1.2381014579177514,4.85773401792374,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '00f4d8f0a8c04ef381b919d81bce279e')","electricity production, natural gas, conventional power plant",CA-BC,prospective_conseq_IMAGE_SSP5H_2050_PERF,00f4d8f0a8c04ef381b919d81bce279e
5,-0.6804413333874596,2.669735174980493,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd9d227caff0048f88a7fcc9f6d791542')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,d9d227caff0048f88a7fcc9f6d791542
6,-0.6171296166548705,2.421329458196755,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
7,-0.5901669706035646,2.315540581122864,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '13ee174ce9254597ae31bb3830d9f393')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,13ee174ce9254597ae31bb3830d9f393
8,-0.40493381876199414,1.5887718844270833,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8218e7f57a8145148752f6d60fc72184')","electricity production, hydro, reservoir, non-alpine region",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,8218e7f57a8145148752f6d60fc72184
9,-0.3787804520600639,1.48615824295309,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7cab7a0c1a314abfa8a998bfb9f90e91')","coke production, wet quenching",CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,7cab7a0c1a314abfa8a998bfb9f90e91
10,-0.31297060490921086,1.2279510248170966,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8e3a5f2e2a4a4e80b8ac799b044ecddc')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8e3a5f2e2a4a4e80b8ac799b044ecddc
11,-0.29261606845614113,1.148089294976767,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '9a2f855639b3402a89e2805dc22c9e70')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,9a2f855639b3402a89e2805dc22c9e70
12,-0.289367686988881,1.135344157608751,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '793f1061efd94b76b167e55d61c2ac96')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,793f1061efd94b76b167e55d61c2ac96
13,0.2672096736302749,-1.0484064235697852,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7636dc3e054548708bd1bd3c2250ce42')","treatment of waste polyethylene, municipal incineration",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,7636dc3e054548708bd1bd3c2250ce42
14,-0.252940142645358,0.9924194237629789,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
15,-0.21772159313329748,0.8542382230765702,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'ceb425c91df54e868bffc56e200105b2')","electricity production, hard coal, at coal mine power plant",CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,ceb425c91df54e868bffc56e200105b2
16,-0.21444551858746475,0.8413844309541455,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4b5ea3291a424776b8d0d6e36a2efe04')",coke production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,4b5ea3291a424776b8d0d6e36a2efe04
17,-0.20414761983862284,0.8009802679952268,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
18,-0.19808618581440893,0.7771980213396539,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '68edc8bb86e44892a9ab27ef514915f8')","heat production, light fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,68edc8bb86e44892a9ab27ef514915f8
19,-0.18313243524985048,0.7185264622776278,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '9753ed345cce4be992ffb85e9f88c3b8')","market for electricity, medium voltage, aluminium industry",CA,prospective_conseq_IMAGE_SSP5H_2050_PERF,9753ed345cce4be992ffb85e9f88c3b8
20,-0.16474928335306552,0.6463995281280972,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '558e7e24655f42839bfac5495f604835')",hard coal mine operation and hard coal preparation,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,558e7e24655f42839bfac5495f604835
