rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.002378348846760654,6.86732351125765,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
2,0.0023055415389795202,6.657097270814519,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bead95c026f6447292e9a9b2ca27e337')",pig iron production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,bead95c026f6447292e9a9b2ca27e337
3,0.002087381708264753,6.0271753244524255,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
4,0.001769425363540713,5.1090976065218054,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8e3a5f2e2a4a4e80b8ac799b044ecddc')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8e3a5f2e2a4a4e80b8ac799b044ecddc
5,0.0015138161116148427,4.371042956617808,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd52acf3e4033482ea7f13c6c81f75b70')","treatment of sewage sludge, 97% water, WWT, WW, average, landfarming",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,d52acf3e4033482ea7f13c6c81f75b70
6,0.0011070417870457728,3.1965092515669937,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75b5a674173249d5b02d4df253cd5f77')",clinker production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75b5a674173249d5b02d4df253cd5f77
7,0.0010704360305225534,3.0908125734864567,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'b39a69aab0a146e5bca1121cf4e730ed')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP5H_2050_PERF,b39a69aab0a146e5bca1121cf4e730ed
8,0.0009390584902829777,2.71146869709622,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8832f4cc0889437487717de844346b41')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,8832f4cc0889437487717de844346b41
9,0.0009338914525147652,2.696549220503233,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '18ee5b5205fa41bf9dd27862ed6f5629')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,18ee5b5205fa41bf9dd27862ed6f5629
10,-0.0008439822279932935,-2.43694233723369,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'adac50a5424b463b8440ccddeeacf8a5')","electricity production, lignite",DE,prospective_conseq_IMAGE_SSP5H_2050_PERF,adac50a5424b463b8440ccddeeacf8a5
11,0.0007839639688804774,2.263643620995502,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '164e09ed0d8640e78371e954b9de8d55')","treatment of wastewater, average, wastewater treatment",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,164e09ed0d8640e78371e954b9de8d55
12,0.000740716545273317,2.1387695726222864,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4bb49afc49e04f89be3a3fcdab894998')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,4bb49afc49e04f89be3a3fcdab894998
13,0.0007075539697619753,2.0430148498392615,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '398fd3bc98954725b7ec931ed9c9e441')",iron sinter production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,398fd3bc98954725b7ec931ed9c9e441
14,0.0007000094325987827,2.0212305024703223,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'eee326cac2824d19beaf4b42a0e7fee6')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,eee326cac2824d19beaf4b42a0e7fee6
15,0.0006653217316376957,1.9210720817718636,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
16,0.0006588020302228441,1.9022468792059863,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '964a0a8e043e4b9b8b25bf00390dd2cb')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,964a0a8e043e4b9b8b25bf00390dd2cb
17,0.0006387936562767604,1.844474035239416,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '826032ba9fb3489aa002a62939f236c2')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,826032ba9fb3489aa002a62939f236c2
18,0.0006387936544793013,1.8444740300493727,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a2344e0b3b804e8aa02f5754247751b2')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,a2344e0b3b804e8aa02f5754247751b2
19,0.0006364619830430096,1.8377414844445585,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e5f67a5e9c954dfa88076ac2728e6f3f')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,e5f67a5e9c954dfa88076ac2728e6f3f
20,0.0006281375487668446,1.8137052362295465,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'cb8c84ed080747ff9e2b20d550d57032')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,cb8c84ed080747ff9e2b20d550d57032
