rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,1.6188052123656092e-18,98.41895585907187,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP1VLLO_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP1VLLO_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP1VLLO_2050_PERF
2,2.6040185161726683e-20,1.5831724622685575,"('mtcw_foreground_prospective', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050_PERF')","Wastewater treatment, average (CA proxy; utilities localized; CA electricity) [SSP1VLLO_2050_PERF]",CA,mtcw_foreground_prospective,wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050_PERF
3,-3.500488121768263e-23,-0.002128201610112601,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '27dffb4a42134c5cb8993ba1e11906c3')",airport construction,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,27dffb4a42134c5cb8993ba1e11906c3
4,-1.8634984045517793e-27,-1.1329563669554734e-07,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c6e7f5cbd13d47228ea9742c885e7eea')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c6e7f5cbd13d47228ea9742c885e7eea
5,-9.140673337388106e-29,-5.5572808812492e-09,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '120b7be6093d4da2b60da4dff69df65d')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,120b7be6093d4da2b60da4dff69df65d
6,-1.4431419859889954e-29,-8.773910927174977e-10,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fe0b62aeca244623bc8c88148bc9ad75')",airport construction,RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fe0b62aeca244623bc8c88148bc9ad75
7,-1.675658738330845e-35,-1.0187549566983039e-15,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '247d84ce01da4c32a1fe214f2181d624')",switchgear HV,RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,247d84ce01da4c32a1fe214f2181d624
8,-1.675658738330845e-35,-1.0187549566983039e-15,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8dee72e8614f490895947b3b10edb47f')",switchgear HV,CH,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8dee72e8614f490895947b3b10edb47f
9,-1.1329468689221366e-35,-6.888008948289589e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd768adf5f3ea4e7e8dcd9fba8bb3d0b7')","lorry production, 40 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d768adf5f3ea4e7e8dcd9fba8bb3d0b7
10,-1.1214689382512321e-35,-6.818226250320484e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'eb50b522730d4a95ae0a7850d7410416')",bus production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,eb50b522730d4a95ae0a7850d7410416
11,-1.1176768212353811e-35,-6.795171209828608e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0b7638b6f307425b96e78421a2c50bd0')","lorry production, 28 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0b7638b6f307425b96e78421a2c50bd0
12,-1.1082452825976731e-35,-6.737830019067847e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fd42ae747ed5415baa61fd7fbef4aeba')","lorry production, 16 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fd42ae747ed5415baa61fd7fbef4aeba
13,-5.230878859873875e-36,-3.18023213467271e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'f8fe0674b4a846df9ae8cb02d91bd48f')",gold-silver mine operation with refinery,CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,f8fe0674b4a846df9ae8cb02d91bd48f
14,-2.6552628563330416e-36,-1.6143276279039645e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c714d97cd1dc4d2a813c0035b06ac449')",zinc mine operation,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c714d97cd1dc4d2a813c0035b06ac449
15,-7.556595529264965e-37,-4.594204640302456e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8d4804098eee4fcba9b45f6e6260c3c0')",gold production,CA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8d4804098eee4fcba9b45f6e6260c3c0
16,-6.189550926611313e-37,-3.7630786877899835e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '1432c5c0b42f49ad9b4dfa464e7aac81')","heat pump production, brine-water, 10kW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,1432c5c0b42f49ad9b4dfa464e7aac81
17,-4.423510227841032e-37,-2.6893739563627837e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'edfaa16aa9144741a1aecffb98b40f34')",gold-silver mine operation and beneficiation,CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,edfaa16aa9144741a1aecffb98b40f34
18,-2.9142992241454156e-37,-1.7718146971009126e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ec98819e3ad2459992ea7890ab66fa4f')","lorry production, 40 metric ton",RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ec98819e3ad2459992ea7890ab66fa4f
19,-2.4444320424715945e-37,-1.486148224942692e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a2d783276945449c89034b6f5f819a02')","platinum group metal, extraction and refinery operations",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a2d783276945449c89034b6f5f819a02
20,-2.0042477521944353e-37,-1.2185281437635848e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'e1afb567cc40495581f457c6f669650c')",bus production,RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,e1afb567cc40495581f457c6f669650c
