rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.5586023341523452,50.20004307116608,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb223ab4fd342e4a797cd380932d493')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb223ab4fd342e4a797cd380932d493
2,0.5046637336372918,45.35273058515051,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b079bc9b17424ef8a9fc1906de17bf97')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b079bc9b17424ef8a9fc1906de17bf97
3,-0.4861374407594697,-43.68782400750978,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ccf2e3fb30484bf981b79e1aab40e519')","heat and power co-generation, hard coal",PL,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ccf2e3fb30484bf981b79e1aab40e519
4,-0.3420346119199331,-30.737702298120862,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7754845acb6745d9a97b006f8c996d71')","heat and power co-generation, lignite",PL,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7754845acb6745d9a97b006f8c996d71
5,0.1378027011783233,12.383946703287894,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd303b5b8f263485ca094a0d431d0dca0')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d303b5b8f263485ca094a0d431d0dca0
6,0.129956318999812,11.678814090636344,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
7,0.1211390813762976,10.886433390794133,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a6125cb720c3494c9c278874c9e03faf')",anaerobic digestion of manure,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a6125cb720c3494c9c278874c9e03faf
8,0.11822784519703873,10.624808666631639,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
9,0.11425001887949936,10.267332443813647,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP1VLLO_2050')",H2 purification service (PSA proxy; CA-proxy; elec loc pref) [SSP1VLLO_2050],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP1VLLO_2050
10,-0.11107882013003108,-9.98234560420062,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'edb7d60a8f9347ac8d887084d23cbb35')","heat and power co-generation, hard coal",DE,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,edb7d60a8f9347ac8d887084d23cbb35
11,-0.10860426069466743,-9.75996380834594,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
12,-0.10806347105606977,-9.7113645428394,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5ec5a3849f204eb3b0adaec4bfa5f0b1')","heat and power co-generation, lignite",CZ,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5ec5a3849f204eb3b0adaec4bfa5f0b1
13,-0.06762565100281866,-6.077329766637334,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '4bb86da352934f598dbb7f64f19f9a83')","heat and power co-generation, lignite",GR,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,4bb86da352934f598dbb7f64f19f9a83
14,0.05788093801364302,5.20159942706565,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '071109506eed434a9b50e77ba822f3bd')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,071109506eed434a9b50e77ba822f3bd
15,-0.05675080017275191,-5.100037072559598,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c4e697e6d38a4742ad3d9d5564f67d97')","heat and power co-generation, hard coal",DK,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c4e697e6d38a4742ad3d9d5564f67d97
16,-0.052692311972156076,-4.735311989942657,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '200e1bd629f24d8c90ef74604e8471e6')","heat and power co-generation, lignite",DE,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,200e1bd629f24d8c90ef74604e8471e6
17,0.05130744770426843,4.610858077659651,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca3a0fc3fe634eada642d8ac24470332')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca3a0fc3fe634eada642d8ac24470332
18,0.04891930042100943,4.396241902340924,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3d18e8afc6094a01a94161ae8dad1d24')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3d18e8afc6094a01a94161ae8dad1d24
19,0.04812735894439546,4.325072317458699,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '572b339d0bf745f5a3b6cb51aead918a')","ammonia production, partial oxidation, liquid",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,572b339d0bf745f5a3b6cb51aead918a
20,0.04739394737958057,4.259162653478387,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c9f861f7ecaa4630a411388e4f8165d6')","ammonia production, partial oxidation, liquid",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c9f861f7ecaa4630a411388e4f8165d6
