rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,1.1457097318513047e-14,98.4189558590772,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP1VLLO_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP1VLLO_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP1VLLO_2050_PERF
2,1.8429946562503437e-16,1.5831724622686432,"('mtcw_foreground_prospective', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050_PERF')","Wastewater treatment, average (CA proxy; utilities localized; CA electricity) [SSP1VLLO_2050_PERF]",CA,mtcw_foreground_prospective,wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050_PERF
3,-2.4774712157422635e-19,-0.0021282016155198154,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '27dffb4a42134c5cb8993ba1e11906c3')",airport construction,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,27dffb4a42134c5cb8993ba1e11906c3
4,-1.3188913937883948e-23,-1.1329563698340249e-07,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c6e7f5cbd13d47228ea9742c885e7eea')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c6e7f5cbd13d47228ea9742c885e7eea
5,-6.469313506609575e-25,-5.557280895368827e-09,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '120b7be6093d4da2b60da4dff69df65d')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,120b7be6093d4da2b60da4dff69df65d
6,-1.0213840487796845e-25,-8.773910949467234e-10,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fe0b62aeca244623bc8c88148bc9ad75')",airport construction,RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fe0b62aeca244623bc8c88148bc9ad75
7,-1.1859478299056754e-31,-1.0187549592866989e-15,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '247d84ce01da4c32a1fe214f2181d624')",switchgear HV,RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,247d84ce01da4c32a1fe214f2181d624
8,-1.1859478299056754e-31,-1.0187549592866989e-15,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8dee72e8614f490895947b3b10edb47f')",switchgear HV,CH,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8dee72e8614f490895947b3b10edb47f
9,-8.018433884306533e-32,-6.888008965790255e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd768adf5f3ea4e7e8dcd9fba8bb3d0b7')","lorry production, 40 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d768adf5f3ea4e7e8dcd9fba8bb3d0b7
10,-7.937198805471048e-32,-6.818226267643846e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'eb50b522730d4a95ae0a7850d7410416')",bus production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,eb50b522730d4a95ae0a7850d7410416
11,-7.910360089192957e-32,-6.795171227093396e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0b7638b6f307425b96e78421a2c50bd0')","lorry production, 28 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0b7638b6f307425b96e78421a2c50bd0
12,-7.843608354342679e-32,-6.737830036186945e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fd42ae747ed5415baa61fd7fbef4aeba')","lorry production, 16 metric ton",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fd42ae747ed5415baa61fd7fbef4aeba
13,-3.7021556301770423e-32,-3.180232142752864e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'f8fe0674b4a846df9ae8cb02d91bd48f')",gold-silver mine operation with refinery,CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,f8fe0674b4a846df9ae8cb02d91bd48f
14,-1.8792628536250147e-32,-1.6143276320055563e-16,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c714d97cd1dc4d2a813c0035b06ac449')",zinc mine operation,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c714d97cd1dc4d2a813c0035b06ac449
15,-5.348182099616333e-33,-4.5942046519751506e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8d4804098eee4fcba9b45f6e6260c3c0')",gold production,CA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8d4804098eee4fcba9b45f6e6260c3c0
16,4.76260959531929e-33,4.0911851449349534e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3f15e08c50544c5c962cacea39bb0546')",cobalt production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3f15e08c50544c5c962cacea39bb0546
17,-4.3806559901435206e-33,-3.7630786973510005e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '1432c5c0b42f49ad9b4dfa464e7aac81')","heat pump production, brine-water, 10kW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,1432c5c0b42f49ad9b4dfa464e7aac81
18,-3.130740308434952e-33,-2.6893739631957924e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'edfaa16aa9144741a1aecffb98b40f34')",gold-silver mine operation and beneficiation,CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,edfaa16aa9144741a1aecffb98b40f34
19,2.946065368600328e-33,2.5307341764629654e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fab5929b572e4bf7aa3e4e4444d8e00b')",cobalt production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fab5929b572e4bf7aa3e4e4444d8e00b
20,-2.0625958982637735e-33,-1.7718147016026398e-17,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ec98819e3ad2459992ea7890ab66fa4f')","lorry production, 40 metric ton",RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ec98819e3ad2459992ea7890ab66fa4f
