rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-0.34653469946962395,8.102998776897456,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
2,-0.2887820695749405,6.752572715335757,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
3,-0.223152696737164,5.217965275887502,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '73261bac87d74e73a1b667d6823a34af')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,73261bac87d74e73a1b667d6823a34af
4,-0.2165173481140822,5.062811342213876,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca4947b1752c49be8a0fdc8e0baa6bcf')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca4947b1752c49be8a0fdc8e0baa6bcf
5,-0.18200248740714897,4.255752555543708,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '49c157ed3e3d4884bcb9a61e6982ae93')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,49c157ed3e3d4884bcb9a61e6982ae93
6,-0.1820024868950242,4.255752543568727,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b2826940e4b549f2aa2962eaf8b98671')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b2826940e4b549f2aa2962eaf8b98671
7,-0.18133261691840283,4.240089016627411,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7214c07373b0488e9f7aef0b434a272a')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7214c07373b0488e9f7aef0b434a272a
8,-0.17451421050470436,4.080654654310596,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '066daebe2c354a039012b8b027a18a4e')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,066daebe2c354a039012b8b027a18a4e
9,-0.1360716256049813,3.181754143337271,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '68fd7ec5c59d4534911a247e06dc5220')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,68fd7ec5c59d4534911a247e06dc5220
10,-0.10556109809374495,2.468328424399375,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a955a3ab68df43dc9db95fdf8f7eb372')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a955a3ab68df43dc9db95fdf8f7eb372
11,-0.09734271702918722,2.276158544107125,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ef68ca3590ed48a3926baeccc3682ef6')","heat production, light fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ef68ca3590ed48a3926baeccc3682ef6
12,-0.09167523695394919,2.1436362189603755,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5e74206e03324054b97813c64dd67a4f')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5e74206e03324054b97813c64dd67a4f
13,-0.08822584070009074,2.0629792063471273,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ccf2e3fb30484bf981b79e1aab40e519')","heat and power co-generation, hard coal",PL,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ccf2e3fb30484bf981b79e1aab40e519
14,-0.08327328076583304,1.947173813261754,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '800e7a36ef184396af088526d6e04cc4')","heat and power co-generation, lignite",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,800e7a36ef184396af088526d6e04cc4
15,-0.07583533514919498,1.7732528052746994,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7855a690cbb24da3a01b089010fa94b6')",pig iron production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7855a690cbb24da3a01b089010fa94b6
16,-0.07555441013477186,1.7666839535788827,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '2c2c739de2ff4e7a9714214b83b5c74c')","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,2c2c739de2ff4e7a9714214b83b5c74c
17,-0.0650278981914236,1.5205431961525857,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '2ff2df0b6c194ecc81014a00158e47ba')","transport, freight, lorry >32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,2ff2df0b6c194ecc81014a00158e47ba
18,-0.062073579722685776,1.4514625558144412,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7754845acb6745d9a97b006f8c996d71')","heat and power co-generation, lignite",PL,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7754845acb6745d9a97b006f8c996d71
19,-0.059322044955923775,1.3871235938467443,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '75bc761c04444ab88d40a76a9b4a0afe')","transport, freight, lorry 16-32 metric ton, EURO3",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,75bc761c04444ab88d40a76a9b4a0afe
20,-0.05400457751962642,1.2627855919137334,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '9a8d19102aad4aa29387406a291ee084')","transport, freight, lorry >32 metric ton, EURO4",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,9a8d19102aad4aa29387406a291ee084
