rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,1.1648945846729076e-20,39.87956083470085,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3f15e08c50544c5c962cacea39bb0546')",cobalt production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3f15e08c50544c5c962cacea39bb0546
2,7.205830176211522e-21,24.668785198056376,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fab5929b572e4bf7aa3e4e4444d8e00b')",cobalt production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fab5929b572e4bf7aa3e4e4444d8e00b
3,4.682363475399416e-21,16.029828065498705,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '025959b6b707470dab91e9cc27e693f5')",cobalt production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,025959b6b707470dab91e9cc27e693f5
4,2.860051807714629e-21,9.791238757297348,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b38cb079ded945088979ab4a5d3fa8f7')",cobalt production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b38cb079ded945088979ab4a5d3fa8f7
5,1.2909642493286452e-21,4.4195490299220195,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '9090e83948794d699fe612e480808c5e')",cobalt production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,9090e83948794d699fe612e480808c5e
6,3.8463459668172225e-22,1.3167765563788285,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ae07756a8fee48ae86f38123007ccbb3')","1,1-difluoroethane production, HFC-152a",US,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ae07756a8fee48ae86f38123007ccbb3
7,2.430657644029915e-22,0.8321230148961483,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '57bb8172173d4c09b7253a6684136e95')","silicon production, metallurgical grade",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,57bb8172173d4c09b7253a6684136e95
8,2.430657644029915e-22,0.8321230148961483,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '98f03c730b6b446cb211a7b6e65f7a72')","silicon production, metallurgical grade",US,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,98f03c730b6b446cb211a7b6e65f7a72
9,2.430657644029915e-22,0.8321230148961483,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '61c70ff6aee942f1a58299200d4e1bbc')","silicon production, metallurgical grade",APAC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,61c70ff6aee942f1a58299200d4e1bbc
10,1.5298112564541397e-22,0.5237229348482514,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd76e897d9c824f3faacbcd1b2c6be002')","photovoltaic laminate, micro-Si, at plant",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d76e897d9c824f3faacbcd1b2c6be002
11,1.5298112564541397e-22,0.5237229348482514,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ebe134612597455f9aef5c6ab9368862')","photovoltaic panel, micro-Si, at plant",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ebe134612597455f9aef5c6ab9368862
12,5.820668789813546e-23,0.19926757163798886,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '18b3cc8abbe24818a8f9acabf3eac48a')","ammonia production, partial oxidation of oil",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,18b3cc8abbe24818a8f9acabf3eac48a
