rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,1.6188052123656092e-18,98.4191125718591,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP2M_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP2M_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP2M_2050_PERF
2,2.6040185161726683e-20,1.5831749831586348,"('mtcw_foreground_prospective', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050_PERF')","Wastewater treatment, average (CA proxy; utilities localized; CA electricity) [SSP2M_2050_PERF]",CA,mtcw_foreground_prospective,wastewater_treatment_unpolluted_CAe__SSP2M_2050_PERF
3,-3.762390902497937e-23,-0.002287435022717559,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0303944c59b14155ad3b0c3838cbe55c')",airport construction,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,0303944c59b14155ad3b0c3838cbe55c
4,-1.8634984045517793e-27,-1.1329581709651637e-07,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'ce7f4e51bf6d433eb5d496ef2edc29fc')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,ce7f4e51bf6d433eb5d496ef2edc29fc
5,-9.140673337388106e-29,-5.557289730123573e-09,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0bcc1631f6db413ca7440ff1025cad40')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP2M_2050_PERF,0bcc1631f6db413ca7440ff1025cad40
6,-1.878217675588301e-29,-1.141907101831294e-09,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6c019162355e4fdb873c117fcff9d4e6')",airport construction,RER,prospective_conseq_IMAGE_SSP2M_2050_PERF,6c019162355e4fdb873c117fcff9d4e6
7,-1.675658738330845e-35,-1.0187565788647592e-15,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd327e9e996514af1b0417f09e40c71da')",switchgear HV,RER,prospective_conseq_IMAGE_SSP2M_2050_PERF,d327e9e996514af1b0417f09e40c71da
8,-1.675658738330845e-35,-1.0187565788647592e-15,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'fceb9cb01d614105a96b031917cd41b1')",switchgear HV,CH,prospective_conseq_IMAGE_SSP2M_2050_PERF,fceb9cb01d614105a96b031917cd41b1
9,-1.215563069497023e-35,-7.390304754467424e-16,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '20ae0c079678411694757fd119fa8fc2')","lorry production, 40 metric ton",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,20ae0c079678411694757fd119fa8fc2
10,-1.2032481507479447e-35,-7.315433277317455e-16,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1cadcb92b12f42cea10c2199dee2902e')",bus production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1cadcb92b12f42cea10c2199dee2902e
11,-1.199179506819333e-35,-7.290696988987886e-16,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b37cb94bafb2438f9c66485d79aa5100')","lorry production, 28 metric ton",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,b37cb94bafb2438f9c66485d79aa5100
12,-1.1890602061080478e-35,-7.229174293839338e-16,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6f942f0ad3d14232b58eefa9ca4afd08')","lorry production, 16 metric ton",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,6f942f0ad3d14232b58eefa9ca4afd08
13,-5.548754417681101e-36,-3.373497203343688e-16,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '224c0d05894b47bab35a90ac4147d4da')",gold-silver mine operation with refinery,CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,224c0d05894b47bab35a90ac4147d4da
14,-2.832416462640999e-36,-1.7220349462532633e-16,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '29e974e301634f7f95efd5f69334afdc')",zinc mine operation,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,29e974e301634f7f95efd5f69334afdc
15,-7.556595529264965e-37,-4.594211955667753e-17,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '512875c138ee451ca64902298b958e02')",gold production,CA,prospective_conseq_IMAGE_SSP2M_2050_PERF,512875c138ee451ca64902298b958e02
