rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.47480873868629275,57.78071827529181,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7394813534664865b34056d067d0c51d')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7394813534664865b34056d067d0c51d
2,0.42895887809691835,52.201128723073374,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '407e3cbb491e46ba9dd24694e92a8462')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,407e3cbb491e46ba9dd24694e92a8462
3,-0.41335815286939775,-50.30263563350711,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '98663c0f6f4c4584bd9fec99db8051db')","heat and power co-generation, hard coal",PL,prospective_conseq_IMAGE_SSP2M_2050_PERF,98663c0f6f4c4584bd9fec99db8051db
4,-0.2908288552713594,-35.391724674769875,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cacce724a4fb4e329de3e29ecdbe1ce4')","heat and power co-generation, lignite",PL,prospective_conseq_IMAGE_SSP2M_2050_PERF,cacce724a4fb4e329de3e29ecdbe1ce4
5,0.11670592156060698,14.202249085409283,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
6,0.11041281266569337,13.43642419107645,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '01faf805f6194336a0a632dd9b08f515')",clinker production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,01faf805f6194336a0a632dd9b08f515
7,0.10296751465863288,12.530386387703615,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '674a7dfcfc5d427c80ce5770ed100c1c')",anaerobic digestion of manure,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,674a7dfcfc5d427c80ce5770ed100c1c
8,0.09711251644733836,11.817876329263715,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP2M_2050')",H2 purification service (PSA proxy; CA-proxy; elec loc pref) [SSP2M_2050],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP2M_2050
9,-0.09444928956743251,-11.49378127895611,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'eace170c73a940a4983d508fa0fef3c5')","heat and power co-generation, hard coal",DE,prospective_conseq_IMAGE_SSP2M_2050_PERF,eace170c73a940a4983d508fa0fef3c5
10,-0.09309141376240512,-11.32853781785174,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
11,-0.09188536624253518,-11.181770738195567,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1e32580bddc04251826911e67d5df4d2')","heat and power co-generation, lignite",CZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,1e32580bddc04251826911e67d5df4d2
12,0.09071833762138656,11.039751970461085,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
13,-0.057501463251719585,-6.997503579562005,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5d55c7a55af248759cf9e15e156d59e2')","heat and power co-generation, lignite",GR,prospective_conseq_IMAGE_SSP2M_2050_PERF,5d55c7a55af248759cf9e15e156d59e2
14,0.04899733663982399,5.962614151665431,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5118559e40fb4cc2bc83e6e78574f5ed')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP2M_2050_PERF,5118559e40fb4cc2bc83e6e78574f5ed
