rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-1.6233524298118276e-25,99.99999999997347,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0303944c59b14155ad3b0c3838cbe55c')",airport construction,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,0303944c59b14155ad3b0c3838cbe55c
2,-9.07829078483336e-39,5.592310466978061e-12,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1cadcb92b12f42cea10c2199dee2902e')",bus production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1cadcb92b12f42cea10c2199dee2902e
3,-9.07829078483336e-39,5.592310466978061e-12,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6f942f0ad3d14232b58eefa9ca4afd08')","lorry production, 16 metric ton",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,6f942f0ad3d14232b58eefa9ca4afd08
4,-9.07829078483336e-39,5.592310466978061e-12,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '20ae0c079678411694757fd119fa8fc2')","lorry production, 40 metric ton",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,20ae0c079678411694757fd119fa8fc2
5,-9.07829078483336e-39,5.592310466978061e-12,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b37cb94bafb2438f9c66485d79aa5100')","lorry production, 28 metric ton",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,b37cb94bafb2438f9c66485d79aa5100
6,-4.155676272692713e-39,2.559934735289317e-12,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'aaa7f8ccf2dd4b2aace7ab467767a430')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,aaa7f8ccf2dd4b2aace7ab467767a430
7,-2.3062223956643112e-39,1.420654168073058e-12,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '9f13d9e6859a4fc4b015f7e49eb60049')",plywood production,CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,9f13d9e6859a4fc4b015f7e49eb60049
8,-2.610523431067614e-40,1.6081063995262708e-13,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c651b17095dc47238026f3b77377fe07')","fibreboard production, soft, from wet & dry processes",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,c651b17095dc47238026f3b77377fe07
9,-4.3972225742796814e-42,2.7087294745899527e-15,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5719f45e59044dde8ae0b90e27d7aa9f')","fibreboard production, hard",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5719f45e59044dde8ae0b90e27d7aa9f
10,-2.264057014117391e-42,1.3946799059396057e-15,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'ee35cf1b67034224906fbc6a11230395')","ammonia production, steam reforming, liquid",RNA,prospective_conseq_IMAGE_SSP2M_2050_PERF,ee35cf1b67034224906fbc6a11230395
