rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,1.2103446532440794e-20,39.95777220076782,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '9595f51cfd7947d28e095d473b1b533f')",cobalt production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,9595f51cfd7947d28e095d473b1b533f
2,7.486975695389344e-21,24.717163702686523,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '8c2b62a9e93d4afea64d1c0bffb87af4')",cobalt production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,8c2b62a9e93d4afea64d1c0bffb87af4
3,4.865052776781142e-21,16.06126569636951,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c8d2715851d44bcda94c004e8830d36f')",cobalt production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,c8d2715851d44bcda94c004e8830d36f
4,2.971640741353315e-21,9.810440644923583,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'a589e8bc4b984ecc97ce0e35f7966614')",cobalt production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,a589e8bc4b984ecc97ce0e35f7966614
5,1.3413330671462713e-21,4.4282164587362,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c8409d21efbf4f6c903462ad1e8f99ba')",cobalt production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,c8409d21efbf4f6c903462ad1e8f99ba
6,3.846353939746446e-22,1.2698179325696637,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '8ca542fb1b18428fa580688cfd346397')","1,1-difluoroethane production, HFC-152a",US,prospective_conseq_IMAGE_SSP2M_2050_PERF,8ca542fb1b18428fa580688cfd346397
7,2.430662682438194e-22,0.8024480093455373,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '9709263e91ee4c81a5e0b2b2a6081671')","silicon production, metallurgical grade",APAC,prospective_conseq_IMAGE_SSP2M_2050_PERF,9709263e91ee4c81a5e0b2b2a6081671
8,2.430662682438194e-22,0.8024480093455373,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '26fcbe8e460443a9b94523d84aa03504')","silicon production, metallurgical grade",US,prospective_conseq_IMAGE_SSP2M_2050_PERF,26fcbe8e460443a9b94523d84aa03504
9,2.430662682438194e-22,0.8024480093455373,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'f2cb7db41e2c49c78de043b033ce0231')","silicon production, metallurgical grade",CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,f2cb7db41e2c49c78de043b033ce0231
10,1.5298144275357268e-22,0.5050460316495773,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c98e60530be04130a0efb745910873e7')","photovoltaic laminate, micro-Si, at plant",CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,c98e60530be04130a0efb745910873e7
11,1.5298144275357268e-22,0.5050460316495773,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '51e2d86542a94be1be091eb80422b915')","photovoltaic panel, micro-Si, at plant",CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,51e2d86542a94be1be091eb80422b915
12,5.820680855233738e-23,0.19216133110797284,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'a1fdc585c00749cf848c1cf55444e5ff')","ammonia production, partial oxidation of oil",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,a1fdc585c00749cf848c1cf55444e5ff
13,3.271007725865923e-23,0.10798757298326712,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '3caebce1ee0f4b709dada52bd5d4000d')","ammonia production, steam reforming",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,3caebce1ee0f4b709dada52bd5d4000d
14,6.515401516922413e-24,0.021509652553256847,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'f17b63e465b44049b5d288ca8a942a9a')","ammonia production, steam reforming with syngas CCS",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,f17b63e465b44049b5d288ca8a942a9a
15,1.2871764324040436e-24,0.004249426188676344,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b59b2be140494360928b38fcfb27dde1')","ammonia production, steam reforming with syngas and flue gas CCS",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,b59b2be140494360928b38fcfb27dde1
16,1.1254752820347913e-24,0.0037155933077908272,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '19b6baf2cad140888a189427155ffeba')",vanadium pentoxide production,ZA,prospective_conseq_IMAGE_SSP2M_2050_PERF,19b6baf2cad140888a189427155ffeba
17,5.86730529821021e-25,0.0019370056942860172,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c79345ff8b704f268344489b7830345b')","glass wool mat production, with plant-based binder, uncoated, Saint-Gobain ISOVER SA",CH,prospective_conseq_IMAGE_SSP2M_2050_PERF,c79345ff8b704f268344489b7830345b
18,3.509946958145461e-25,0.001158758049737684,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '07bbbed784ae44698e2172937a8009d3')",NMC622 oxide,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,07bbbed784ae44698e2172937a8009d3
19,3.509946958145461e-25,0.001158758049737684,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '469e22320a6443d89bbcedb90e339cb8')",NMC532 oxide,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,469e22320a6443d89bbcedb90e339cb8
20,3.509946958145461e-25,0.001158758049737684,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cc2f23e09fe948bea90dad272983a74e')",NMC955 oxide,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,cc2f23e09fe948bea90dad272983a74e
