scenario,case,bg_db,method_0,method_1,method_2,method,score,solver,tech_shape,n_activities,n_products,error
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP100),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-1.0749154106418126e-20,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",acidification: terrestrial,terrestrial acidification potential (TAP),"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-1.6946154796780484e-23,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP1000),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-1.093300849448165e-20,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-1.835393404946696e-33,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: marine,marine ecotoxicity potential (METP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-3.687188286795729e-31,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-3.464413700375629e-32,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)","energy resources: non-renewable, fossil",fossil fuel potential (FFP),"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-6.772203765377304e-40,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: freshwater,freshwater eutrophication potential (FEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-1.3653201434163055e-36,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: marine,marine eutrophication potential (MEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-1.0721415165136821e-34,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: carcinogenic,human toxicity potential (HTPc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-5.3710377184376434e-33,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: non-carcinogenic,human toxicity potential (HTPnc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-1.6830988407343406e-30,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ionising radiation,ionising radiation potential (IRP),"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-1.6970165309346605e-35,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",land use,agricultural land occupation (LOP),"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-5.874439024279932e-21,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",material resources: metals/minerals,surplus ore potential (SOP),"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-4.701903490506195e-31,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ozone depletion,ozone depletion potential (ODPinfinite),"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-1.5694196116630376e-38,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",particulate matter formation,particulate matter formation potential (PMFP),"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",9.098853714191658e-22,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-8.561639302591902e-23,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-1.0917089818895815e-22,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",water use,water consumption potential (WCP),"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-2.1054043840181e-22,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP100),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.3261039587247935e-25,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",acidification: terrestrial,terrestrial acidification potential (TAP),"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",2.090731484224437e-28,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP1000),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",1.3487869899078085e-25,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",1.0545849118015452e-39,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: marine,marine ecotoxicity potential (METP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",1.6683383192583105e-39,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",1.943340570485676e-36,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)","energy resources: non-renewable, fossil",fossil fuel potential (FFP),"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",3.4908852036953774e-43,least_squares,"(107022, 107025)",107025,107022,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: freshwater,freshwater eutrophication potential (FEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-8.741516361767907e-45,least_squares,"(107022, 107025)",107025,107022,
