rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,1.6188052123656074e-18,98.41915175000807,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP5H_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP5H_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP5H_2050_PERF
2,2.6040185161726653e-20,1.5831756133803843,"('mtcw_foreground_prospective', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050_PERF')","Wastewater treatment, average (CA proxy; utilities localized; CA electricity) [SSP5H_2050_PERF]",CA,mtcw_foreground_prospective,wastewater_treatment_unpolluted_CAe__SSP5H_2050_PERF
3,-3.827866391751504e-23,-0.0023272433299001594,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '64a293b58a154680bb4d3d44b652e6d5')",airport construction,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,64a293b58a154680bb4d3d44b652e6d5
4,-1.8634984045517785e-27,-1.1329586219670364e-07,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '07fa96e5eecb4397bba14aab98ba0112')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,07fa96e5eecb4397bba14aab98ba0112
5,-9.140673337388101e-29,-5.557291942339468e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bf6704e386f447e980e36ee93b4c1890')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP5H_2050_PERF,bf6704e386f447e980e36ee93b4c1890
6,-1.982635911152384e-29,-1.2053911311514358e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '714b776d17074ee6b0375b89211320e6')",airport construction,RER,prospective_conseq_IMAGE_SSP5H_2050_PERF,714b776d17074ee6b0375b89211320e6
7,-1.6756587383308438e-35,-1.0187569844058784e-15,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'ce5ed2c56151480993d157215d1d9836')",switchgear HV,CH,prospective_conseq_IMAGE_SSP5H_2050_PERF,ce5ed2c56151480993d157215d1d9836
8,-1.6756587383308438e-35,-1.0187569844058784e-15,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd48aeb3033d5481d9e56afe63e7f9a1c')",switchgear HV,RER,prospective_conseq_IMAGE_SSP5H_2050_PERF,d48aeb3033d5481d9e56afe63e7f9a1c
9,-1.2362171196407439e-35,-7.515878955942084e-16,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6631e66160064683a80eef43fd81a083')","lorry production, 40 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6631e66160064683a80eef43fd81a083
10,-1.223692953872122e-35,-7.439735281464844e-16,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e48f4d4818804e6dbe39be6459e7fcfc')",bus production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,e48f4d4818804e6dbe39be6459e7fcfc
11,-1.2195551782153204e-35,-7.414578680339307e-16,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '339f0a6ada8e47acae1257f84f82e428')","lorry production, 28 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,339f0a6ada8e47acae1257f84f82e428
12,-1.2092639369856407e-35,-7.352010607013196e-16,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a9d46d1d88444bff849ba597f6e1a831')","lorry production, 16 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,a9d46d1d88444bff849ba597f6e1a831
13,-5.813650190041588e-36,-3.534548294658818e-16,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '696b35d33136412b8e0c96313654743d')",gold-silver mine operation with refinery,CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,696b35d33136412b8e0c96313654743d
14,-2.8767048642179864e-36,-1.7489618294329599e-16,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '03e9c5e7df7042019e42f50604ba2b48')",zinc mine operation,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,03e9c5e7df7042019e42f50604ba2b48
15,-7.556595529264962e-37,-4.594213784506847e-17,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '907aba6ffbf043eea89a03eff130e9ff')",gold production,CA,prospective_conseq_IMAGE_SSP5H_2050_PERF,907aba6ffbf043eea89a03eff130e9ff
16,-6.189550926611308e-37,-3.7630861777394634e-17,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8c4d45ce7632412a9ef60dff19851934')","heat pump production, brine-water, 10kW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8c4d45ce7632412a9ef60dff19851934
17,-4.423510227841029e-37,-2.6893793092338603e-17,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '63a7f304e7c34d7ca11113731c10db73')",gold-silver mine operation and beneficiation,CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,63a7f304e7c34d7ca11113731c10db73
18,-3.968394329585448e-37,-2.412680665616317e-17,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'fc01c679faec4eb2a698d6998b6ca1a0')","lorry production, 40 metric ton",RER,prospective_conseq_IMAGE_SSP5H_2050_PERF,fc01c679faec4eb2a698d6998b6ca1a0
19,-2.729179402374198e-37,-1.6592701808931315e-17,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '347d60257a154dfd82a22e1ff9c8ee8c')",bus production,RER,prospective_conseq_IMAGE_SSP5H_2050_PERF,347d60257a154dfd82a22e1ff9c8ee8c
20,-2.444432042471593e-37,-1.4861511829396005e-17,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7ae922b7a27e4aa587fa79ca0c50fd09')","platinum group metal, extraction and refinery operations",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,7ae922b7a27e4aa587fa79ca0c50fd09
