rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-1.0398114728824765e-25,99.99999999997357,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '64a293b58a154680bb4d3d44b652e6d5')",airport construction,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,64a293b58a154680bb4d3d44b652e6d5
2,-5.812597895745328e-39,5.5900497804958864e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6631e66160064683a80eef43fd81a083')","lorry production, 40 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6631e66160064683a80eef43fd81a083
3,-5.812597895745328e-39,5.5900497804958864e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '339f0a6ada8e47acae1257f84f82e428')","lorry production, 28 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,339f0a6ada8e47acae1257f84f82e428
4,-5.812597895745328e-39,5.5900497804958864e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a9d46d1d88444bff849ba597f6e1a831')","lorry production, 16 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,a9d46d1d88444bff849ba597f6e1a831
5,-5.812597895745328e-39,5.5900497804958864e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e48f4d4818804e6dbe39be6459e7fcfc')",bus production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,e48f4d4818804e6dbe39be6459e7fcfc
6,-2.6163186867589577e-39,2.5161471622404122e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'ea6676d65cca4be4a05e0cc80a785ed4')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,ea6676d65cca4be4a05e0cc80a785ed4
7,-1.4519448469187131e-39,1.3963539399054445e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '9dc40cac1ab7446fa33ca46a74e3da20')",plywood production,CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,9dc40cac1ab7446fa33ca46a74e3da20
8,-1.6435258154742558e-40,1.5805998090382476e-13,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '037d994041f04a1f804cb38f9c784f8d')","fibreboard production, soft, from wet & dry processes",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,037d994041f04a1f804cb38f9c784f8d
9,-2.7683907109231532e-42,2.662396773953768e-15,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c84a0e4a47384da3aa207c55d0441762')","fibreboard production, hard",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c84a0e4a47384da3aa207c55d0441762
10,-1.4253984875691075e-42,1.370823966403605e-15,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6b0ef0761528497684582bcabe0c5bca')","ammonia production, steam reforming, liquid",RNA,prospective_conseq_IMAGE_SSP5H_2050_PERF,6b0ef0761528497684582bcabe0c5bca
