rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-1.0748564859108423e-20,99.9945181983264,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '64a293b58a154680bb4d3d44b652e6d5')",airport construction,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,64a293b58a154680bb4d3d44b652e6d5
2,-5.892472718090576e-25,0.005481801321066079,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '07fa96e5eecb4397bba14aab98ba0112')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,07fa96e5eecb4397bba14aab98ba0112
3,-1.0805307540901861e-32,1.0052239863646765e-10,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'ce5ed2c56151480993d157215d1d9836')",switchgear HV,CH,prospective_conseq_IMAGE_SSP5H_2050_PERF,ce5ed2c56151480993d157215d1d9836
4,-1.0805307540901861e-32,1.0052239863646765e-10,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd48aeb3033d5481d9e56afe63e7f9a1c')",switchgear HV,RER,prospective_conseq_IMAGE_SSP5H_2050_PERF,d48aeb3033d5481d9e56afe63e7f9a1c
5,-3.357552884167115e-33,3.123550793789793e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e48f4d4818804e6dbe39be6459e7fcfc')",bus production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,e48f4d4818804e6dbe39be6459e7fcfc
6,-3.3575340708716505e-33,3.1235332916726236e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6631e66160064683a80eef43fd81a083')","lorry production, 40 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6631e66160064683a80eef43fd81a083
7,-3.3575162013833174e-33,3.123516667584666e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '339f0a6ada8e47acae1257f84f82e428')","lorry production, 28 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,339f0a6ada8e47acae1257f84f82e428
8,-3.357503993423531e-33,3.1235053104493365e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a9d46d1d88444bff849ba597f6e1a831')","lorry production, 16 metric ton",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,a9d46d1d88444bff849ba597f6e1a831
9,-1.620141002131228e-33,1.507226509259804e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '696b35d33136412b8e0c96313654743d')",gold-silver mine operation with refinery,CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,696b35d33136412b8e0c96313654743d
10,-5.585839714730243e-34,5.196538871272707e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '58f798fbf8fd48989fea596b9bc39f37')","transmission network construction, electricity, medium voltage",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,58f798fbf8fd48989fea596b9bc39f37
11,-2.12292932125378e-34,1.9749733795203635e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '907aba6ffbf043eea89a03eff130e9ff')",gold production,CA,prospective_conseq_IMAGE_SSP5H_2050_PERF,907aba6ffbf043eea89a03eff130e9ff
12,-1.7108463400684488e-34,1.5916102077715428e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8c4d45ce7632412a9ef60dff19851934')","heat pump production, brine-water, 10kW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8c4d45ce7632412a9ef60dff19851934
13,-1.3222002911835017e-34,1.2300505491813908e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '99fd04416b6842e6a5829f9e38bc10e4')","transmission network construction, electricity, medium voltage",CH,prospective_conseq_IMAGE_SSP5H_2050_PERF,99fd04416b6842e6a5829f9e38bc10e4
14,-1.242571122359463e-34,1.1559710746146491e-12,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '63a7f304e7c34d7ca11113731c10db73')",gold-silver mine operation and beneficiation,CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,63a7f304e7c34d7ca11113731c10db73
15,-2.461483377894902e-35,2.2899321691045387e-13,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '36444ef41a0946b9b6040c07f1f559e0')","distribution network construction, electricity, low voltage",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,36444ef41a0946b9b6040c07f1f559e0
16,5.807749398364944e-36,-5.402982728563954e-14,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '34a97e9d84424ed09db948378aaf1f52')","platinum group metal mine operation, ore with high palladium content",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,34a97e9d84424ed09db948378aaf1f52
17,-2.7046585821695378e-36,2.5161594627754336e-14,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '604f552204c1482c81a8de1f216482d3')","chipper production, mobile, diesel",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,604f552204c1482c81a8de1f216482d3
