rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-3.3113944364945627,54.762116742868194,"('mtcw_foreground_prospective', 'h2_supply_local_51c3e204739b4755831121a9a1818a0e__SSP5H_2050')","hydrogen production, steam methane reforming (h2 supplier → CA-localized; elec/util swaps) [SSP5H_2050]",CA,mtcw_foreground_prospective,h2_supply_local_51c3e204739b4755831121a9a1818a0e__SSP5H_2050
2,-0.5744282754940966,9.499595679792352,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'de287f1640b042238b6c17505a8f8907')","heat and power co-generation, hard coal",PL,prospective_conseq_IMAGE_SSP5H_2050_PERF,de287f1640b042238b6c17505a8f8907
3,0.5592065256514479,-9.247866307801171,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7d0c09cbeffb453e9ae405d20df8bc64')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,7d0c09cbeffb453e9ae405d20df8bc64
4,-0.5559169147137256,9.193464435216983,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
5,0.5044237476838287,-8.341897254553256,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6caad482ae3d4d12b8d902e7edf906a9')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6caad482ae3d4d12b8d902e7edf906a9
6,-0.4467661773198864,7.388386381737144,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
7,-0.40415391988223964,6.683687059071179,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a7b0e352cc1540119081c0bff67efc65')","heat and power co-generation, lignite",PL,prospective_conseq_IMAGE_SSP5H_2050_PERF,a7b0e352cc1540119081c0bff67efc65
8,0.35321448750079043,-5.8412772536596025,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd94d18b28f704bdbb63fb2816512a89f')","electricity production, lignite",PL,prospective_conseq_IMAGE_SSP5H_2050_PERF,d94d18b28f704bdbb63fb2816512a89f
9,-0.24727650708887192,4.089330102065512,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
10,0.24123860975257694,-3.9894785002244277,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6840c58fb5c948cba6013d2298561b02')","electricity production, lignite",CZ,prospective_conseq_IMAGE_SSP5H_2050_PERF,6840c58fb5c948cba6013d2298561b02
11,-0.23261691596788192,3.846897418262311,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '9a2f855639b3402a89e2805dc22c9e70')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,9a2f855639b3402a89e2805dc22c9e70
12,-0.22230413636266755,3.6763500396534177,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '793f1061efd94b76b167e55d61c2ac96')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,793f1061efd94b76b167e55d61c2ac96
13,-0.17542889674910925,2.901151737760693,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '18ee5b5205fa41bf9dd27862ed6f5629')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,18ee5b5205fa41bf9dd27862ed6f5629
14,-0.14729021135155934,2.4358088122097588,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '826032ba9fb3489aa002a62939f236c2')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,826032ba9fb3489aa002a62939f236c2
15,-0.14729021093710917,2.4358088053557974,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a2344e0b3b804e8aa02f5754247751b2')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,a2344e0b3b804e8aa02f5754247751b2
16,-0.1467461013753738,2.426810604775318,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e5f67a5e9c954dfa88076ac2728e6f3f')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,e5f67a5e9c954dfa88076ac2728e6f3f
17,-0.14123039000705848,2.3355946425381515,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd2cd563823bf46e785ff9588c5ec9d35')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,d2cd563823bf46e785ff9588c5ec9d35
18,-0.13125262475469962,2.1705875568340907,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6774541ea9d14b8293041b3b4c8e8cf2')","heat and power co-generation, hard coal",DE,prospective_conseq_IMAGE_SSP5H_2050_PERF,6774541ea9d14b8293041b3b4c8e8cf2
19,-0.12768963695877433,2.1116647201331795,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'dd458481a3344cfc811d9ff451684f3b')","heat and power co-generation, lignite",CZ,prospective_conseq_IMAGE_SSP5H_2050_PERF,dd458481a3344cfc811d9ff451684f3b
20,0.12668845566610396,-2.0951077052920146,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '27f23c9edad34e69b839c9c6d853d568')","electricity production, lignite",RO,prospective_conseq_IMAGE_SSP5H_2050_PERF,27f23c9edad34e69b839c9c6d853d568
