rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.5046581191006507,-415.05925246366616,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6caad482ae3d4d12b8d902e7edf906a9')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6caad482ae3d4d12b8d902e7edf906a9
2,-0.08079262828299984,66.44840661530837,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bead95c026f6447292e9a9b2ca27e337')",pig iron production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,bead95c026f6447292e9a9b2ca27e337
3,-0.07942233909849547,65.32140363437348,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
4,0.032545557849175094,-26.767299287614293,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e5111d5d7e544550b972e4472e5ab32a')",sponge iron production,IN,prospective_conseq_IMAGE_SSP5H_2050_PERF,e5111d5d7e544550b972e4472e5ab32a
5,-0.031186276026680147,25.649349380977238,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '18ee5b5205fa41bf9dd27862ed6f5629')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,18ee5b5205fa41bf9dd27862ed6f5629
6,-0.03108665565832746,25.567415980812573,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8832f4cc0889437487717de844346b41')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,8832f4cc0889437487717de844346b41
7,0.029659154753257255,-24.393358859517203,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '826032ba9fb3489aa002a62939f236c2')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,826032ba9fb3489aa002a62939f236c2
8,0.029659154669801322,-24.393358790878345,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a2344e0b3b804e8aa02f5754247751b2')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,a2344e0b3b804e8aa02f5754247751b2
9,0.02954897724819013,-24.302742675687703,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e5f67a5e9c954dfa88076ac2728e6f3f')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,e5f67a5e9c954dfa88076ac2728e6f3f
10,0.028438430930643115,-23.389366853638542,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd2cd563823bf46e785ff9588c5ec9d35')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,d2cd563823bf46e785ff9588c5ec9d35
11,-0.028358775738123593,23.323853938239658,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4bb49afc49e04f89be3a3fcdab894998')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,4bb49afc49e04f89be3a3fcdab894998
12,-0.0253618661537743,20.859026751870488,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '188af35661b44d44a9106226003770b9')","heat production, natural gas, at industrial furnace >100kW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,188af35661b44d44a9106226003770b9
