rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,9.41704292075332e-22,39.99552539488621,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bdc2ae962f1e44c3a6a526365bc22c03')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,bdc2ae962f1e44c3a6a526365bc22c03
2,5.825214638606826e-22,24.740518012890682,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'f962d04f7b4147f1aef68f635df21254')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,f962d04f7b4147f1aef68f635df21254
3,3.7852366566258885e-22,16.076440353913586,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e350d68763e24cfabf3f8439613ab011')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e350d68763e24cfabf3f8439613ab011
4,2.3120744316634106e-22,9.819710117564554,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7119b2e0455e4f17a87fefa96a6b246a')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,7119b2e0455e4f17a87fefa96a6b246a
5,1.0436194052534684e-22,4.4324005716724635,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '56fd8a5908d645f3bf073facef7be4d0')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,56fd8a5908d645f3bf073facef7be4d0
6,2.964810203479842e-23,1.2591972106548495,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4acfba11d7ae4c88b9e53799ead7b7c9')","1,1-difluoroethane production, HFC-152a",US,prospective_conseq_IMAGE_SSP5H_2050_PERF,4acfba11d7ae4c88b9e53799ead7b7c9
7,1.8735804439737788e-23,0.7957363564858958,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c2f5c7d936844260ba16c905afe58325')","silicon production, metallurgical grade",APAC,prospective_conseq_IMAGE_SSP5H_2050_PERF,c2f5c7d936844260ba16c905afe58325
8,1.8735804439737788e-23,0.7957363564858958,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '14e81ea728a940b6addcd02d040447bc')","silicon production, metallurgical grade",US,prospective_conseq_IMAGE_SSP5H_2050_PERF,14e81ea728a940b6addcd02d040447bc
9,1.8735804439737788e-23,0.7957363564858958,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e1e3e5301570417daf484604e97c4c76')","silicon production, metallurgical grade",CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,e1e3e5301570417daf484604e97c4c76
10,1.1791971033449889e-23,0.5008218406701068,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1295f9f07dba425cb2c68cffae0fff74')","photovoltaic laminate, micro-Si, at plant",CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,1295f9f07dba425cb2c68cffae0fff74
