rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,1.221707395408406e-20,39.976716671068694,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bdc2ae962f1e44c3a6a526365bc22c03')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,bdc2ae962f1e44c3a6a526365bc22c03
2,7.557263849932587e-21,24.72888327210875,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'f962d04f7b4147f1aef68f635df21254')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,f962d04f7b4147f1aef68f635df21254
3,4.910725857030398e-21,16.068880075017383,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e350d68763e24cfabf3f8439613ab011')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e350d68763e24cfabf3f8439613ab011
4,2.9995386616247e-21,9.815092195590893,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7119b2e0455e4f17a87fefa96a6b246a')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,7119b2e0455e4f17a87fefa96a6b246a
5,1.3539255965161205e-21,4.430316143542615,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '56fd8a5908d645f3bf073facef7be4d0')",cobalt production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,56fd8a5908d645f3bf073facef7be4d0
6,3.8463566345133227e-22,1.2586050470982229,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4acfba11d7ae4c88b9e53799ead7b7c9')","1,1-difluoroethane production, HFC-152a",US,prospective_conseq_IMAGE_SSP5H_2050_PERF,4acfba11d7ae4c88b9e53799ead7b7c9
7,2.430664385367614e-22,0.7953621449906618,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c2f5c7d936844260ba16c905afe58325')","silicon production, metallurgical grade",APAC,prospective_conseq_IMAGE_SSP5H_2050_PERF,c2f5c7d936844260ba16c905afe58325
8,2.430664385367614e-22,0.7953621449906618,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e1e3e5301570417daf484604e97c4c76')","silicon production, metallurgical grade",CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,e1e3e5301570417daf484604e97c4c76
9,2.430664385367614e-22,0.7953621449906618,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '14e81ea728a940b6addcd02d040447bc')","silicon production, metallurgical grade",US,prospective_conseq_IMAGE_SSP5H_2050_PERF,14e81ea728a940b6addcd02d040447bc
10,1.5298154993282112e-22,0.5005863188313526,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '53991ce5fe6d47e9a3da5056b772feb3')","photovoltaic panel, micro-Si, at plant",CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,53991ce5fe6d47e9a3da5056b772feb3
11,1.5298154993282112e-22,0.5005863188313526,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1295f9f07dba425cb2c68cffae0fff74')","photovoltaic laminate, micro-Si, at plant",CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,1295f9f07dba425cb2c68cffae0fff74
12,5.820684933219855e-23,0.1904644870624702,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '9269e05765d146deb5864d29c03f113c')","ammonia production, partial oxidation of oil",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,9269e05765d146deb5864d29c03f113c
13,3.271010017543551e-23,0.10703400928161906,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1ac450b07fba4b92ab691d2924808a5f')","ammonia production, steam reforming",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,1ac450b07fba4b92ab691d2924808a5f
14,6.515406081631867e-24,0.021319715661971907,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8ef4fd67be174020b5787b3162cfda82')","ammonia production, steam reforming with syngas CCS",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,8ef4fd67be174020b5787b3162cfda82
15,1.2871773342036357e-24,0.0042119024398373705,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'abfc0c1e4a284e85aa7fdc132acfd7a1')","ammonia production, steam reforming with syngas and flue gas CCS",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,abfc0c1e4a284e85aa7fdc132acfd7a1
