case,method,score
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | climate change: freshwater ecosystems no LT",1.4300314244219357e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | acidification: terrestrial no LT",3.1836962589347595e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | climate change: freshwater ecosystems no LT",1.1418284041865474e-12
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | climate change: terrestrial ecosystems no LT",4.1854157066714015e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: freshwater no LT",9.094679060445433e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: marine no LT",1.5455584134487922e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: terrestrial no LT",4.718736489288622e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | eutrophication: freshwater no LT",-2.5402753249723737e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | eutrophication: marine no LT",6.91486078709269e-14
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | land use no LT",-6.780467526105645e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | photochemical oxidant formation: terrestrial ecosystems no LT",2.0940729486477458e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | water use: aquatic ecosystems no LT",2.2089054873609434e-15
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | water use: terrestrial ecosystems no LT",4.937124537903181e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | climate change: human health no LT",2.092702307875436e-05
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | human toxicity: carcinogenic no LT",6.216554943214236e-06
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | human toxicity: non-carcinogenic no LT",5.534279193083556e-06
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | ionising radiation no LT",-7.295066497658237e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | ozone depletion no LT",1.261890399372878e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | particulate matter formation no LT",-3.084861511248392e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | photochemical oxidant formation: human health no LT",1.4088269065432011e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | water use: human health no LT",8.118824456845236e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | natural resources no LT | energy resources: non-renewable, fossil no LT",0.037746420920790474
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | natural resources no LT | material resources: metals/minerals no LT",-0.0006633661794096455
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | total: ecosystem quality no LT | ecosystem quality no LT",4.298634637004043e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | total: human health no LT | human health no LT",3.266884495644272e-05
c3c4,"ReCiPe 2016 v1.03, endpoint (E) no LT | total: natural resources no LT | natural resources no LT",0.037083054790752065
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | acidification: terrestrial",3.1842457733833e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: freshwater ecosystems",1.1418284249333454e-12
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: terrestrial ecosystems",4.1854157826401646e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: freshwater",1.31928829979485e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: marine",1.5093130506494902e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: terrestrial",4.718520932456407e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: freshwater",9.97035175063423e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: marine",1.4199284346648842e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | land use",-6.780467526105645e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | photochemical oxidant formation: terrestrial ecosystems",2.0941609619365338e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: aquatic ecosystems",2.2089054873609434e-15
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: terrestrial ecosystems",4.937124537903181e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | human health | climate change: human health",2.0927023458598177e-05
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: carcinogenic",8.046635051443248e-06
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: non-carcinogenic",0.0002764721645265786
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | human health | ionising radiation",-1.647967447522403e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | human health | ozone depletion",1.2618912786052578e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | human health | particulate matter formation",-2.9700748761282463e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | human health | photochemical oxidant formation: human health",1.4088889306418248e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | human health | water use: human health",8.118824456845236e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | natural resources | energy resources: non-renewable, fossil",0.037746420920790474
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | natural resources | material resources: metals/minerals",-0.0006633661794096455
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | total: ecosystem quality | ecosystem quality",1.9352562932277642e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | total: human health | human health",0.00030543786682995236
c3c4,"ReCiPe 2016 v1.03, endpoint (E) | total: natural resources | natural resources",0.037083054790752065
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | acidification: terrestrial no LT",3.1836962589347595e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | climate change: terrestrial ecosystems no LT",5.234156879258798e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: freshwater no LT",6.459606726290231e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: marine no LT",3.677375618993536e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: terrestrial no LT",4.392353899945702e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | eutrophication: freshwater no LT",-2.5402753249723737e-11
