scenario,case,bg_db,method_0,method_1,method_2,method,score
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,acidification: terrestrial,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | acidification: terrestrial",-5.2233597875472884e-09
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,climate change: freshwater ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: freshwater ecosystems",6.198479694568379e-12
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,climate change: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: terrestrial ecosystems",2.272093184052508e-07
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: freshwater,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: freshwater",2.8744327929367578e-08
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: marine,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: marine",2.0348014389507597e-06
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: terrestrial,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: terrestrial",-6.978903699259806e-10
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,eutrophication: freshwater,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: freshwater",4.029713894966207e-09
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,eutrophication: marine,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: marine",1.7799547537594628e-12
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,land use,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | land use",-3.965104884684022e-10
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,photochemical oxidant formation: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | photochemical oxidant formation: terrestrial ecosystems",2.5848383449079076e-10
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,water use: aquatic ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: aquatic ecosystems",6.173515689155367e-14
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,water use: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: terrestrial ecosystems",1.3798440521728173e-09
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,climate change: human health,"ReCiPe 2016 v1.03, endpoint (E) | human health | climate change: human health",0.00011360637364823344
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,human toxicity: carcinogenic,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: carcinogenic",0.0008619806337706851
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,human toxicity: non-carcinogenic,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: non-carcinogenic",0.0006798136708028004
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,ionising radiation,"ReCiPe 2016 v1.03, endpoint (E) | human health | ionising radiation",-1.9660845723193665e-10
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,ozone depletion,"ReCiPe 2016 v1.03, endpoint (E) | human health | ozone depletion",4.895953116793064e-08
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,particulate matter formation,"ReCiPe 2016 v1.03, endpoint (E) | human health | particulate matter formation",-4.350966913293909e-06
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,photochemical oxidant formation: human health,"ReCiPe 2016 v1.03, endpoint (E) | human health | photochemical oxidant formation: human health",1.6943832745809196e-09
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,water use: human health,"ReCiPe 2016 v1.03, endpoint (E) | human health | water use: human health",2.269079957917358e-07
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",natural resources,"energy resources: non-renewable, fossil","ReCiPe 2016 v1.03, endpoint (E) | natural resources | energy resources: non-renewable, fossil",0.17057861843132413
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",natural resources,material resources: metals/minerals,"ReCiPe 2016 v1.03, endpoint (E) | natural resources | material resources: metals/minerals",0.03567808274517856
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",total: ecosystem quality,ecosystem quality,"ReCiPe 2016 v1.03, endpoint (E) | total: ecosystem quality | ecosystem quality",2.2887313699520066e-06
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",total: human health,human health,"ReCiPe 2016 v1.03, endpoint (E) | total: human health | human health",0.0016513259155053722
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",total: natural resources,natural resources,"ReCiPe 2016 v1.03, endpoint (E) | total: natural resources | natural resources",0.20625670255634676
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,acidification: terrestrial no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | acidification: terrestrial no LT",-5.223393853731861e-09
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,climate change: freshwater ecosystems no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | climate change: freshwater ecosystems no LT",6.198479544016888e-12
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,climate change: terrestrial ecosystems no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | climate change: terrestrial ecosystems no LT",2.2720931289249143e-07
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: freshwater no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: freshwater no LT",4.200369729948272e-12
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: marine no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: marine no LT",1.8611205594769463e-09
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: terrestrial no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: terrestrial no LT",-6.980217117974679e-10
SSP1VLLO_2050,c3c4,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,eutrophication: freshwater no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | eutrophication: freshwater no LT",1.3687290128275277e-10
