scenario,case,bg_db,method_0,method_1,method_2,method,score
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,acidification: terrestrial,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | acidification: terrestrial",-4.7864658876185474e-09
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,climate change: freshwater ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: freshwater ecosystems",6.050761386141427e-12
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,climate change: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: terrestrial ecosystems",2.2179460270995238e-07
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: freshwater,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: freshwater",2.872147190372218e-08
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: marine,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: marine",2.0253818452479424e-06
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: terrestrial,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: terrestrial",-5.892593008202258e-10
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,eutrophication: freshwater,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: freshwater",3.977666229392272e-09
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,eutrophication: marine,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: marine",1.7033826509306063e-12
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,land use,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | land use",-9.493003348562161e-10
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,photochemical oxidant formation: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | photochemical oxidant formation: terrestrial ecosystems",2.8241723727158265e-10
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,water use: aquatic ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: aquatic ecosystems",4.3592434714829443e-14
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,water use: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: terrestrial ecosystems",9.743344946218984e-10
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,climate change: human health,"ReCiPe 2016 v1.03, endpoint (E) | human health | climate change: human health",0.00011089874113987179
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,human toxicity: carcinogenic,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: carcinogenic",0.0008482165539800777
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,human toxicity: non-carcinogenic,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: non-carcinogenic",0.0006683854534162787
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,ionising radiation,"ReCiPe 2016 v1.03, endpoint (E) | human health | ionising radiation",-1.1061993396905227e-09
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,ozone depletion,"ReCiPe 2016 v1.03, endpoint (E) | human health | ozone depletion",4.8887687860296104e-08
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,particulate matter formation,"ReCiPe 2016 v1.03, endpoint (E) | human health | particulate matter formation",-4.168497466477782e-06
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,photochemical oxidant formation: human health,"ReCiPe 2016 v1.03, endpoint (E) | human health | photochemical oxidant formation: human health",1.8812828160862624e-09
