scenario,case,bg_db,method_0,method_1,method_2,method,score
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,acidification: terrestrial,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | acidification: terrestrial",-5.652901036130743e-09
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,climate change: freshwater ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: freshwater ecosystems",5.460690204004363e-12
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,climate change: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: terrestrial ecosystems",2.00165042403745e-07
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: freshwater,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: freshwater",2.871999294151293e-08
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: marine,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: marine",1.9917402639825374e-06
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: terrestrial,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: terrestrial",-6.430581030298588e-10
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,eutrophication: freshwater,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: freshwater",3.1110006837707415e-09
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,eutrophication: marine,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: marine",1.5953412872366877e-12
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,land use,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | land use",-1.1935612022744912e-09
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,photochemical oxidant formation: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | photochemical oxidant formation: terrestrial ecosystems",8.098811452923248e-11
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,water use: aquatic ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: aquatic ecosystems",5.11534569279328e-14
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,water use: terrestrial ecosystems,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: terrestrial ecosystems",1.143327858404904e-09
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,climate change: human health,"ReCiPe 2016 v1.03, endpoint (E) | human health | climate change: human health",0.00010008378462433367
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,human toxicity: carcinogenic,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: carcinogenic",0.0008473959200755127
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,human toxicity: non-carcinogenic,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: non-carcinogenic",0.0005988774032740322
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,ionising radiation,"ReCiPe 2016 v1.03, endpoint (E) | human health | ionising radiation",-3.642890203321048e-10
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,ozone depletion,"ReCiPe 2016 v1.03, endpoint (E) | human health | ozone depletion",4.852336673435848e-08
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,particulate matter formation,"ReCiPe 2016 v1.03, endpoint (E) | human health | particulate matter formation",-4.858651494928833e-06
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,photochemical oxidant formation: human health,"ReCiPe 2016 v1.03, endpoint (E) | human health | photochemical oxidant formation: human health",4.740550088548855e-10
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",human health,water use: human health,"ReCiPe 2016 v1.03, endpoint (E) | human health | water use: human health",1.880147813211804e-07
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",natural resources,"energy resources: non-renewable, fossil","ReCiPe 2016 v1.03, endpoint (E) | natural resources | energy resources: non-renewable, fossil",0.11613857028478274
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",natural resources,material resources: metals/minerals,"ReCiPe 2016 v1.03, endpoint (E) | natural resources | material resources: metals/minerals",0.02993630302057506
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",total: ecosystem quality,ecosystem quality,"ReCiPe 2016 v1.03, endpoint (E) | total: ecosystem quality | ecosystem quality",2.2163331431406057e-06
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",total: human health,human health,"ReCiPe 2016 v1.03, endpoint (E) | total: human health | human health",0.0015417341700754762
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E)",total: natural resources,natural resources,"ReCiPe 2016 v1.03, endpoint (E) | total: natural resources | natural resources",0.14607487444868564
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,acidification: terrestrial no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | acidification: terrestrial no LT",-5.652937954267796e-09
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,climate change: freshwater ecosystems no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | climate change: freshwater ecosystems no LT",5.460690028851108e-12
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,climate change: terrestrial ecosystems no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | climate change: terrestrial ecosystems no LT",2.0016503599014032e-07
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: freshwater no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: freshwater no LT",3.994706226504503e-12
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: marine no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: marine no LT",1.8423262491539425e-09
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: terrestrial no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | ecotoxicity: terrestrial no LT",-6.432090879445394e-10
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,eutrophication: freshwater no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | eutrophication: freshwater no LT",4.1504711632620156e-11
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,eutrophication: marine no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | eutrophication: marine no LT",1.3194210473015458e-12
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,land use no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | land use no LT",-1.1935612022744912e-09
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,photochemical oxidant formation: terrestrial ecosystems no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | photochemical oxidant formation: terrestrial ecosystems no LT",8.092962792159039e-11
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,water use: aquatic ecosystems no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | water use: aquatic ecosystems no LT",5.11534569279328e-14
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,water use: terrestrial ecosystems no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | ecosystem quality no LT | water use: terrestrial ecosystems no LT",1.143327858404904e-09
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,climate change: human health no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | climate change: human health no LT",0.0001000837814175313
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,human toxicity: carcinogenic no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | human toxicity: carcinogenic no LT",2.3830292136307255e-05
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,human toxicity: non-carcinogenic no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | human toxicity: non-carcinogenic no LT",-5.361051002689787e-05
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,ionising radiation no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | ionising radiation no LT",-1.6162791190255962e-10
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,ozone depletion no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | ozone depletion no LT",4.852329250583788e-08
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,particulate matter formation no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | particulate matter formation no LT",-4.865894702337527e-06
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,photochemical oxidant formation: human health no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | photochemical oxidant formation: human health no LT",4.736428460609642e-10
SSP5H_2050,c3c4,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,water use: human health no LT,"ReCiPe 2016 v1.03, endpoint (E) no LT | human health no LT | water use: human health no LT",1.880147813211804e-07
