rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,5.511232647632267e-13,72.68165802276161,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb223ab4fd342e4a797cd380932d493')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb223ab4fd342e4a797cd380932d493
2,3.667180995715241e-14,4.8362464820398205,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP1VLLO_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP1VLLO_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP1VLLO_2050_PERF
3,3.4998408282230556e-14,4.615559720932685,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5b826a6af9544cdfb3876d1aa9f103c3')","treatment of waste rubber, unspecified, municipal incineration",Europe without Switzerland,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5b826a6af9544cdfb3876d1aa9f103c3
4,1.5659947877035053e-14,2.0652203400303244,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8e1db1e9844c479dbab431f9d86175fc')","heat production, wood pellet, at furnace 9kW, state-of-the-art 2014",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8e1db1e9844c479dbab431f9d86175fc
5,-1.1641862471023742e-14,-1.5353187226282174,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
6,1.1401018122766365e-14,1.503556378927706,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a6125cb720c3494c9c278874c9e03faf')",anaerobic digestion of manure,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a6125cb720c3494c9c278874c9e03faf
7,1.1296678027674566e-14,1.4897960977086167,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd303b5b8f263485ca094a0d431d0dca0')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d303b5b8f263485ca094a0d431d0dca0
8,9.861603461473646e-15,1.300539708935791,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
9,8.794485533229065e-15,1.1598091223510425,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
10,5.934606039339479e-15,0.7826506958228275,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a80446d138d2435bb8ff7740cb2af739')","heat production, wood chips from industry, at furnace 5000kW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a80446d138d2435bb8ff7740cb2af739
11,5.784391350848914e-15,0.762840513025414,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58c16036ece14dd980226651cf0f6590')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58c16036ece14dd980226651cf0f6590
12,-5.756684391203787e-15,-0.7591865432249506,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '519f96856e844b51a39c598573406a1b')","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products",CH,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,519f96856e844b51a39c598573406a1b
13,5.011557064701186e-15,0.6609197978507672,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '071109506eed434a9b50e77ba822f3bd')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,071109506eed434a9b50e77ba822f3bd
14,-4.571337769279413e-15,-0.6028640590885641,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '68fd7ec5c59d4534911a247e06dc5220')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,68fd7ec5c59d4534911a247e06dc5220
15,4.5632067385579505e-15,0.6017917458111999,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '81ca08f9503642f2b3ec6ea7b41f647e')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,81ca08f9503642f2b3ec6ea7b41f647e
16,-4.395541662971023e-15,-0.57968022110283,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'e4f8c00055e643319ec8dfdce221471a')","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,e4f8c00055e643319ec8dfdce221471a
