rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,5.51185134472171e-13,-37931.27453460901,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb223ab4fd342e4a797cd380932d493')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb223ab4fd342e4a797cd380932d493
2,-3.3292318852814767e-13,22910.996819773904,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58c16036ece14dd980226651cf0f6590')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58c16036ece14dd980226651cf0f6590
3,5.0045748012256905e-14,-3444.0315756349987,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '81ca08f9503642f2b3ec6ea7b41f647e')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,81ca08f9503642f2b3ec6ea7b41f647e
4,-3.88754380289681e-14,2675.3169131494774,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
5,3.667180995715241e-14,-2523.668372329783,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP1VLLO_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP1VLLO_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP1VLLO_2050_PERF
6,3.4993837924302316e-14,-2408.194253274697,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5b826a6af9544cdfb3876d1aa9f103c3')","treatment of waste rubber, unspecified, municipal incineration",Europe without Switzerland,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5b826a6af9544cdfb3876d1aa9f103c3
7,-2.852788503327903e-14,1963.2224663049308,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5d82e47ac91443b1b6bfc70ebeb16c99')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5d82e47ac91443b1b6bfc70ebeb16c99
8,-2.1983948412717836e-14,1512.8840210758337,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '70dfd919263f45c98ac2d89c7ec20724')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,70dfd919263f45c98ac2d89c7ec20724
9,2.0172403985320835e-14,-1388.2177615747694,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a80446d138d2435bb8ff7740cb2af739')","heat production, wood chips from industry, at furnace 5000kW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a80446d138d2435bb8ff7740cb2af739
10,-1.8692325179299304e-14,1286.3621925238708,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '071109506eed434a9b50e77ba822f3bd')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,071109506eed434a9b50e77ba822f3bd
