rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-3.3870757973484377e-13,44.58304410956325,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58c16036ece14dd980226651cf0f6590')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58c16036ece14dd980226651cf0f6590
2,4.5482538052698814e-14,-5.986727553619491,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '81ca08f9503642f2b3ec6ea7b41f647e')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,81ca08f9503642f2b3ec6ea7b41f647e
3,-2.996691903134018e-14,3.9444540156079353,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5d82e47ac91443b1b6bfc70ebeb16c99')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5d82e47ac91443b1b6bfc70ebeb16c99
4,-2.7233577657928638e-14,3.584672639848057,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
5,-2.6056141853217322e-14,3.4296903614511036,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
6,-2.370388103649284e-14,3.120069455325168,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '071109506eed434a9b50e77ba822f3bd')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,071109506eed434a9b50e77ba822f3bd
7,-2.2481988431098703e-14,2.9592354640513916,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '70dfd919263f45c98ac2d89c7ec20724')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,70dfd919263f45c98ac2d89c7ec20724
8,-2.1435743419082294e-14,2.821521428963503,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd303b5b8f263485ca094a0d431d0dca0')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d303b5b8f263485ca094a0d431d0dca0
9,-1.7297248790532583e-14,2.2767840223891866,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca4947b1752c49be8a0fdc8e0baa6bcf')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca4947b1752c49be8a0fdc8e0baa6bcf
10,-1.638439245187502e-14,2.156627530928544,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '73261bac87d74e73a1b667d6823a34af')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,73261bac87d74e73a1b667d6823a34af
11,1.4237774164096e-14,-1.874074722735212,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a80446d138d2435bb8ff7740cb2af739')","heat production, wood chips from industry, at furnace 5000kW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a80446d138d2435bb8ff7740cb2af739
12,-1.0693639651744284e-14,1.4075711227328194,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '68fd7ec5c59d4534911a247e06dc5220')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,68fd7ec5c59d4534911a247e06dc5220
13,-1.0282403311766284e-14,1.3534413394576787,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'e4f8c00055e643319ec8dfdce221471a')","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,e4f8c00055e643319ec8dfdce221471a
14,-1.0160126167731918e-14,1.337346372494308,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fb410a9946434743a2ce8b88af07a93b')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",NL,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fb410a9946434743a2ce8b88af07a93b
15,8.828860111352807e-15,-1.1621158879578306,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c6ff73e031434be9820428d77634cc59')","electricity production, natural gas, conventional power plant",CA-BC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c6ff73e031434be9820428d77634cc59
16,-7.995756415585703e-15,1.0524569932696701,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5e74206e03324054b97813c64dd67a4f')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5e74206e03324054b97813c64dd67a4f
17,-7.981597270670048e-15,1.0505932682747274,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ca3a0fc3fe634eada642d8ac24470332')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ca3a0fc3fe634eada642d8ac24470332
18,-7.847553820241498e-15,1.0329495383418679,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ef68ca3590ed48a3926baeccc3682ef6')","heat production, light fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ef68ca3590ed48a3926baeccc3682ef6
19,-7.635177748795431e-15,1.004995124778085,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a955a3ab68df43dc9db95fdf8f7eb372')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a955a3ab68df43dc9db95fdf8f7eb372
20,-7.61008727181225e-15,1.0016925419337719,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3d18e8afc6094a01a94161ae8dad1d24')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3d18e8afc6094a01a94161ae8dad1d24
