rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,5.511485786048258e-13,74.45986645672306,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7394813534664865b34056d067d0c51d')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7394813534664865b34056d067d0c51d
2,3.667180995715241e-14,4.954341130749289,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP2M_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP2M_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP2M_2050_PERF
3,3.4997918122857436e-14,4.7281992748451875,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '684de46bc8fa4359a352a91cbb81336b')","treatment of waste rubber, unspecified, municipal incineration",Europe without Switzerland,prospective_conseq_IMAGE_SSP2M_2050_PERF,684de46bc8fa4359a352a91cbb81336b
4,1.5668326529145068e-14,2.1167822003891454,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6f3b53a4f2f541d4a40d0fbe85b78eb6')","heat production, wood pellet, at furnace 9kW, state-of-the-art 2014",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,6f3b53a4f2f541d4a40d0fbe85b78eb6
5,-1.2033163687194765e-14,-1.6256737220814568,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
6,1.1401541520409443e-14,1.5403419186156948,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '674a7dfcfc5d427c80ce5770ed100c1c')",anaerobic digestion of manure,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,674a7dfcfc5d427c80ce5770ed100c1c
7,1.0818559470003307e-14,1.4615813678223095,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
8,8.86275559990719e-15,1.1973533526625078,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '01faf805f6194336a0a632dd9b08f515')",clinker production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,01faf805f6194336a0a632dd9b08f515
9,8.528320582778432e-15,1.1521713678392937,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
10,6.134755912993761e-15,0.8288021120954916,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '8728078998c646e685cb97695ff1496a')","heat production, wood chips from industry, at furnace 5000kW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,8728078998c646e685cb97695ff1496a
11,-5.781057530330732e-15,-0.7810176573016214,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '96b1ed6197374b7fad19e263fc970b3b')","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products",CH,prospective_conseq_IMAGE_SSP2M_2050_PERF,96b1ed6197374b7fad19e263fc970b3b
12,4.804548578479843e-15,0.649091840976972,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5118559e40fb4cc2bc83e6e78574f5ed')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP2M_2050_PERF,5118559e40fb4cc2bc83e6e78574f5ed
13,-4.724987585457861e-15,-0.6383431950663225,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6ec84ac4db874ea29910f10b181dbcca')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,6ec84ac4db874ea29910f10b181dbcca
