rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,5.516639157950576e-13,-209.15758310131955,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7394813534664865b34056d067d0c51d')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7394813534664865b34056d067d0c51d
2,-3.3467833659076634e-13,126.88977834776433,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1f7df18c59de44c88cacd2d493cc286b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1f7df18c59de44c88cacd2d493cc286b
3,-6.81004335616504e-14,25.81956456473819,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'a33ecf3230a24821ade55efbd185d02b')","hydrogen production, steam methane reforming",CHN,prospective_conseq_IMAGE_SSP2M_2050_PERF,a33ecf3230a24821ade55efbd185d02b
4,4.739325869578273e-14,-17.968656568409756,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6df36fd4328341e98f463829c94c38d1')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP2M_2050_PERF,6df36fd4328341e98f463829c94c38d1
5,-4.1763508356400695e-14,15.83419582023492,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
6,-3.853268914934622e-14,14.609264630361926,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
7,3.667180995715241e-14,-13.903731817468312,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP2M_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP2M_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP2M_2050_PERF
8,3.499653554163863e-14,-13.268569107441596,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '684de46bc8fa4359a352a91cbb81336b')","treatment of waste rubber, unspecified, municipal incineration",Europe without Switzerland,prospective_conseq_IMAGE_SSP2M_2050_PERF,684de46bc8fa4359a352a91cbb81336b
9,-3.483162569977881e-14,13.206045271886193,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd8927168f0de4bb38ac83857d94633f6')","hydrogen production, steam methane reforming",KOR,prospective_conseq_IMAGE_SSP2M_2050_PERF,d8927168f0de4bb38ac83857d94633f6
10,-3.349421458238107e-14,12.698979884938415,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd065e713ee2c40beb6f445457e73d50d')","hydrogen production, steam methane reforming",USA,prospective_conseq_IMAGE_SSP2M_2050_PERF,d065e713ee2c40beb6f445457e73d50d
11,-2.7838094473803233e-14,10.554521315564806,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
12,-2.2116671374624106e-14,8.385303802761355,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '508fd69962dd42f1b53ae224e7ede40d')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,508fd69962dd42f1b53ae224e7ede40d
