rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-3.393411468802338e-13,33.80071659793745,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1f7df18c59de44c88cacd2d493cc286b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1f7df18c59de44c88cacd2d493cc286b
2,-6.807690520959057e-14,6.78092887057445,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'a33ecf3230a24821ade55efbd185d02b')","hydrogen production, steam methane reforming",CHN,prospective_conseq_IMAGE_SSP2M_2050_PERF,a33ecf3230a24821ade55efbd185d02b
3,-5.029175873535232e-14,5.0094057259299785,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
4,4.380990675894126e-14,-4.363768603232988,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6df36fd4328341e98f463829c94c38d1')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP2M_2050_PERF,6df36fd4328341e98f463829c94c38d1
5,-3.4819808558531923e-14,3.4682928725314843,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd8927168f0de4bb38ac83857d94633f6')","hydrogen production, steam methane reforming",KOR,prospective_conseq_IMAGE_SSP2M_2050_PERF,d8927168f0de4bb38ac83857d94633f6
6,-3.347765732241743e-14,3.334605360773623,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd065e713ee2c40beb6f445457e73d50d')","hydrogen production, steam methane reforming",USA,prospective_conseq_IMAGE_SSP2M_2050_PERF,d065e713ee2c40beb6f445457e73d50d
7,-2.936754448650222e-14,2.9252097999065327,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
8,-2.649956494343462e-14,2.6395392744334645,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
9,-2.3165287828410005e-14,2.30742229757975,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5118559e40fb4cc2bc83e6e78574f5ed')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP2M_2050_PERF,5118559e40fb4cc2bc83e6e78574f5ed
10,-2.2531090221214602e-14,2.2442518457056435,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '508fd69962dd42f1b53ae224e7ede40d')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,508fd69962dd42f1b53ae224e7ede40d
11,-2.0121558388147833e-14,2.0042458712697075,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
12,-1.735455308041125e-14,1.728633075439787,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7be3a15a30a7413aa4527e049506a6fd')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7be3a15a30a7413aa4527e049506a6fd
13,-1.6301786340684798e-14,1.6237702536441518,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '22b30b6d1fcb4203b29dfeb55c6874b2')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,22b30b6d1fcb4203b29dfeb55c6874b2
